artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
gojira;7;2025;29/07/2025 15:00;284;France;Carcassonne;(43.21, 2.35);605.7;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;7;2025;30/07/2025 19:00;285;Romania;Braşov;(45.65, 25.61);1276.0;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;7;2025;30/07/2025 19:00;285;Germany;Wacken;(54.02, 9.38);944.4;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;8;2025;06/08/2025 19:00;292;Czech Republic;Jaroměř;(50.34, 15.92);731.5;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;8;2025;07/08/2025 19:00;293;United Kingdom;Walton On Trent;(52.74, -1.7);1128.6;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;8;2025;13/08/2025 19:00;299;Germany;Dinkelsbühl;(49.07, 10.32);402.1;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;8;2025;14/08/2025 19:00;300;Germany;Sulingen;(52.67, 8.81);794.6;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;11;2025;27/11/2025 19:00;405;France;Reims;(49.26, 4.03);570.8;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;11;2025;28/11/2025 19:00;406;France;Lille;(50.63, 3.08);728.6;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;11;2025;30/11/2025 19:00;408;France;Paris;(48.85, 2.35);638.4;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;01/12/2025 19:00;409;France;Rouen;(49.44, 1.1);750.6;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;02/12/2025 19:00;410;France;Saint-herblain;(47.23, -1.62);855.1;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;04/12/2025 19:00;412;France;Toulouse;(43.6, 1.41);656.9;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;05/12/2025 19:00;413;France;Clermont-ferrand;(45.78, 3.09);479.3;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;06/12/2025 19:00;414;France;Marseille;(43.32, 5.41);390.9;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;08/12/2025 19:00;416;France;Nice;(43.68, 7.2);261.2;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;09/12/2025 19:00;417;France;Bordeaux;(44.84, -0.58);774.3;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;10/12/2025 19:00;418;France;Lyon;(45.77, 4.98);332.3;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
gojira;12;2025;12/12/2025 19:00;420;France;Strasbourg;(48.58, 7.75);357.2;67;{'nu', 'metal', 'groove', 'alternative', 'progressive', 'french', 'death'}
jon hopkins;11;2024;11/11/2024 19:30;24;United Kingdom;London;(51.55, -0.08);958.2;66;{'music', 'dance', 'electronica', 'intelligent'}
slowdive;4;2025;10/04/2025 19:30;174;United Kingdom;London;(51.47, -0.11);954.0;65;{'reading', 'alternative', 'shoegaze', 'rock', 'dream', 'pop', 'indie'}
dream theater;10;2024;20/10/2024 19:00;2;United Kingdom;London;(51.5, 0.0);950.3;63;{'progressive', 'metal'}
dream theater;10;2024;22/10/2024 19:00;4;Germany;Berlin;(52.51, 13.44);834.7;63;{'progressive', 'metal'}
dream theater;10;2024;23/10/2024 19:00;5;Germany;Köln;(50.97, 7.02);626.7;63;{'progressive', 'metal'}
dream theater;10;2024;25/10/2024 19:00;7;Italy;Assago;(45.4, 9.14);16.1;63;{'progressive', 'metal'}
dream theater;10;2024;26/10/2024 19:00;8;Italy;Roma;(41.82, 12.47);487.9;63;{'progressive', 'metal'}
dream theater;10;2024;28/10/2024 19:00;10;Germany;Munich;(48.19, 11.61);346.9;63;{'progressive', 'metal'}
dream theater;10;2024;29/10/2024 19:00;11;Croatia;Zagreb;(45.77, 15.94);523.6;63;{'progressive', 'metal'}
dream theater;11;2024;01/11/2024 19:00;14;Hungary;Budapest;(47.5, 19.11);788.6;63;{'progressive', 'metal'}
dream theater;11;2024;02/11/2024 19:00;15;Czechia;Hradec Kralove;(50.21, 15.83);716.8;63;{'progressive', 'metal'}
dream theater;11;2024;02/11/2024 20:00;15;Czechia;Praha 7;(50.1, 14.43);639.9;63;{'progressive', 'metal'}
dream theater;11;2024;03/11/2024 19:00;16;Poland;Łódź;(51.76, 19.43);1020.5;63;{'progressive', 'metal'}
dream theater;11;2024;06/11/2024 19:00;19;Finland;Espoo;(60.18, 24.79);1927.4;63;{'progressive', 'metal'}
dream theater;11;2024;08/11/2024 19:00;21;Sweden;Stockholm;(59.33, 18.07);1645.7;63;{'progressive', 'metal'}
dream theater;11;2024;09/11/2024 19:00;22;Norway;Oslo;(59.91, 10.75);1603.4;63;{'progressive', 'metal'}
dream theater;11;2024;10/11/2024 19:00;23;Denmark;København;(55.69, 12.62);1155.0;63;{'progressive', 'metal'}
dream theater;11;2024;12/11/2024 19:00;25;Luxembourg;Esch-sur-alzette;(49.5, 5.95);505.7;63;{'progressive', 'metal'}
dream theater;11;2024;13/11/2024 19:00;26;Switzerland;Dübendorf;(47.4, 8.6);213.4;63;{'progressive', 'metal'}
dream theater;11;2024;14/11/2024 20:00;27;France;Lyon;(45.73, 4.83);343.8;63;{'progressive', 'metal'}
dream theater;11;2024;16/11/2024 19:00;29;Portugal;Lisboa;(38.77, -9.09);1684.9;63;{'progressive', 'metal'}
dream theater;11;2024;17/11/2024 19:00;30;Spain;Leganés;(40.33, -3.76);1205.5;63;{'progressive', 'metal'}
dream theater;11;2024;20/11/2024 19:00;33;Germany;Stuttgart;(48.78, 9.17);361.3;63;{'progressive', 'metal'}
dream theater;11;2024;21/11/2024 19:00;34;Germany;Frankfurt Am Main;(50.1, 8.52);510.9;63;{'progressive', 'metal'}
dream theater;11;2024;23/11/2024 19:00;36;France;Paris;(48.9, 2.36);640.8;63;{'progressive', 'metal'}
dream theater;11;2024;24/11/2024 19:00;37;Netherlands;Amsterdam;(52.31, 4.94);816.6;63;{'progressive', 'metal'}
nils frahm;10;2024;18/10/2024 18:00;0;Netherlands;Amsterdam;(52.36, 4.87);823.6;61;{'electronica', 'compositional', 'darkwave', 'neoclassical', 'ambient'}
nils frahm;10;2024;19/10/2024 19:00;1;Belgium;Antwerpen;(51.22, 4.42);725.8;61;{'electronica', 'compositional', 'darkwave', 'neoclassical', 'ambient'}
arca;10;2024;31/10/2024 18:00;13;Italy;Torino;(45.03, 7.66);135.1;61;{'experimental', 'art', 'escape', 'fluxwork', 'room', 'deconstructed', 'pop', 'ai', 'club'}
