BiT_url;id;name;genres;followers;popularity;genres_set
https://www.bandsintown.com/a/13012404-xxxtentacion;15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47054352;89;{'hop', 'miami', 'emo', 'rap', 'hip'}
https://www.bandsintown.com/a/25874-radiohead;4Z8W4fKeB5YxbusRsdQVPb;radiohead;['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock'];10675265;84;{'indie', 'melancholia', 'rock', 'art', 'alternative', 'oxford', 'wave', 'permanent'}
https://www.bandsintown.com/a/908-alice-in-chains;64tNsm6TnZe2zpcMVMOoHL;alice in chains;['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock'];5327844;75;{'hard', 'rock', 'metal', 'nu', 'alternative', 'grunge'}
https://www.bandsintown.com/a/1206048-flume;6nxWCVXbOlEVRexSbLsTer;flume;['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica'];2462255;72;{'edm', 'australian', 'indietronica', 'indie', 'downtempo', 'electropop', 'dance'}
https://www.bandsintown.com/a/26633-tool;2yEwvVSSSUkcLeSTNyHKh8;tool;['alternative metal', 'art rock', 'nu metal', 'post-grunge', 'progressive metal', 'progressive rock', 'rock'];3905639;71;{'post-grunge', 'rock', 'art', 'metal', 'nu', 'alternative', 'progressive'}
https://www.bandsintown.com/a/25852-aphex-twin;6kBDZFXuLrZgHnvmPu9NsG;aphex twin;['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic'];1495519;68;{'electronica', 'music', 'ambient', 'braindance', 'dance', 'uk', 'electronic', 'intelligent', 'experimental'}
https://www.bandsintown.com/a/2761-gojira;0GDGKpJFhVpcjIGF8N6Ewt;gojira;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];1533806;67;{'french', 'death', 'metal', 'nu', 'alternative', 'progressive', 'groove'}
https://www.bandsintown.com/a/26702-rush;2Hkut4rAAyrQxRdof7FVJq;rush;['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'progressive rock', 'rock'];2372775;66;{'hard', 'classic', 'canadian', 'rock', 'album', 'metal', 'progressive'}
https://www.bandsintown.com/a/37334-jon-hopkins;7yxi31szvlbwvKq9dYOmFI;jon hopkins;['electronica', 'intelligent dance music'];520334;66;{'music', 'dance', 'intelligent', 'electronica'}
https://www.bandsintown.com/a/17596-slowdive;72X6FHxaShda0XeQw3vbeF;slowdive;['alternative rock', 'dream pop', 'reading indie', 'shoegaze'];1128479;65;{'indie', 'rock', 'dream', 'reading', 'pop', 'alternative', 'shoegaze'}
https://www.bandsintown.com/a/13451-dream-theater;2aaLAng2L2aWD2FClzwiep;dream theater;['metal', 'progressive metal'];1618391;63;{'metal', 'progressive'}
https://www.bandsintown.com/a/731-mastodon;1Dvfqq39HxvCJ3GvfeIFuT;mastodon;['alternative metal', 'atlanta metal', 'metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock'];941882;61;{'atlanta', 'sludge', 'rock', 'stoner', 'metal', 'alternative', 'progressive', 'groove'}
https://www.bandsintown.com/a/428518-nils-frahm;5gqhueRUZEa7VDnQt4HODp;nils frahm;['compositional ambient', 'electronica', 'neoclassical darkwave'];669030;61;{'darkwave', 'electronica', 'ambient', 'compositional', 'neoclassical'}
https://www.bandsintown.com/a/96639-arca;4SQdUpG4f7UbkJG3cJ2Iyj;arca;['ai', 'art pop', 'deconstructed club', 'escape room', 'experimental pop', 'fluxwork'];576547;61;{'fluxwork', 'escape', 'art', 'ai', 'pop', 'deconstructed', 'room', 'club', 'experimental'}
https://www.bandsintown.com/a/687-opeth;0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986106;59;{'death', 'metal', 'swedish', 'alternative', 'progressive'}
https://www.bandsintown.com/a/1025391-com-truise;2wouN3QXejYa5tKetYdcVX;com truise;['chillwave', 'indietronica', 'vaporwave'];282719;59;{'chillwave', 'indietronica', 'vaporwave'}
https://www.bandsintown.com/a/7212-death;4f5V3PQ66nIrBCqugJtaGn;death;['death metal', 'dissonant death metal', 'florida death metal', 'groove metal', 'hard rock', 'metal', 'speed metal', 'technical death metal'];922242;58;{'hard', 'speed', 'technical', 'dissonant', 'death', 'rock', 'metal', 'florida', 'groove'}
https://www.bandsintown.com/a/44837-franco-battiato;4lianjyuR1tqf6oUX8kjrZ;franco battiato;['classic italian pop', 'experimental', 'italian adult pop'];819268;58;{'italian', 'adult', 'classic', 'pop', 'experimental'}
https://www.bandsintown.com/a/11411434-audiotree;1j8QyWpOJKAe6Iw2KvEg2j;audiotree;[];17477;58;set()
https://www.bandsintown.com/a/6789676-san-holo;0jNDKefhfSbLR9sFvcPLHo;san holo;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];696091;57;{'edm', 'future', 'trap', 'bass', 'electronic', 'electro', 'pop', 'dance', 'brostep', 'house'}
https://www.bandsintown.com/a/1838770-kamasi-washington;6HQYnRM4OzToCYPpVBInuU;kamasi washington;['afrofuturism', 'contemporary jazz', 'indie soul', 'jazz', 'jazz saxophone'];481226;57;{'afrofuturism', 'jazz', 'indie', 'saxophone', 'soul', 'contemporary'}
https://www.bandsintown.com/a/8310385-yves-tumor;0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];399472;57;{'escape', 'art', 'hypnagogic', 'pop', 'room', 'experimental', 'r&b'}
https://www.bandsintown.com/a/5385-flying-lotus;29XOeO6KIWxGthejQqn793;flying lotus;['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky'];791469;56;{'afrofuturism', 'indietronica', 'glitch', 'electronica', 'music', 'wonky', 'hop', 'escape', 'instrumental', 'jazztronica', 'dance', 'alternative', 'psychedelic', 'room', 'hip', 'experimental', 'intelligent'}
https://www.bandsintown.com/a/1412-meshuggah;3ggwAqZD3lyT2sbovlmfQY;meshuggah;['alternative metal', 'djent', 'groove metal', 'metal', 'nu metal', 'progressive groove metal', 'swedish metal', 'technical groove metal', 'technical thrash'];733297;56;{'technical', 'thrash', 'metal', 'nu', 'swedish', 'alternative', 'progressive', 'djent', 'groove'}
https://www.bandsintown.com/a/1416-porcupine-tree;5NXHXK6hOCotCF8lvGM1I0;porcupine tree;['progressive metal', 'progressive rock'];711684;55;{'metal', 'rock', 'progressive'}
https://www.bandsintown.com/a/214867-have-a-nice-life;0FRKTwQSToXpCxYMhyUzYY;have a nice life;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];418175;55;{'blackgaze', 'dream', 'nu', 'pop', 'gaze', 'doomgaze'}
https://www.bandsintown.com/a/32007-periphery;6d24kC5fxHFOSEAmjQPPhc;periphery;['djent', 'melodic metalcore', 'progressive metal', 'progressive metalcore'];506961;54;{'metalcore', 'metal', 'melodic', 'progressive', 'djent'}
https://www.bandsintown.com/a/10832046-sam-gellaitry;07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148604;54;{'scottish', 'bass', 'electronic', 'vapor', 'future', 'twitch'}
https://www.bandsintown.com/a/1071-dimmu-borgir;6e8ISIsI7UQZPyEorefAhK;dimmu borgir;['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal'];532888;52;{'speed', 'norwegian', 'viking', 'death', 'black', 'metal', 'melodic', 'gothic', 'symphonic', 'power'}
https://www.bandsintown.com/a/369387-leprous;4lgrzShsg2FLA89UM2fdO5;leprous;['norwegian metal', 'prog metal', 'progressive metal'];261333;52;{'metal', 'norwegian', 'progressive', 'prog'}
https://www.bandsintown.com/a/5241104-plini;3Gs10XJ4S4OEFrMRqZJcic;plini;['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion'];326385;51;{'jazz', 'math', 'rock', 'instrumental', 'fusion', 'progressive', 'djent'}
https://www.bandsintown.com/a/20003-chelsea-wolfe;6ZK2nrW8aCTg8Bid7I7N10;chelsea wolfe;['dark pop', 'doomgaze', 'gaian doom', 'sacramento indie'];323756;51;{'doom', 'indie', 'sacramento', 'pop', 'gaian', 'dark', 'doomgaze'}
https://www.bandsintown.com/a/320246-animals-as-leaders;65C6Unk7nhg2aCnVuAPMo8;animals as leaders;['djent', 'instrumental djent', 'instrumental rock', 'jazz metal', 'progressive jazz fusion', 'progressive metal'];548036;50;{'jazz', 'rock', 'instrumental', 'metal', 'fusion', 'progressive', 'djent'}
https://www.bandsintown.com/a/75742-toe;0rpKM0MniNkXM1SLSglYUZ;toe;['instrumental math rock', 'instrumental post-rock', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo'];308073;50;{'japanese', 'post-rock', 'math', 'rock', 'instrumental', 'emo', 'midwest'}
https://www.bandsintown.com/a/237069-intervals;0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208121;49;{'rock', 'djent', 'instrumental'}
https://www.bandsintown.com/a/51937-apparat;40Ojab0UtVQFjA76qXr8Ot;apparat;['ambient pop', 'electronica', 'glitch', 'indietronica', 'trip hop'];403978;48;{'indietronica', 'glitch', 'electronica', 'trip', 'hop', 'ambient', 'pop'}
https://www.bandsintown.com/a/369380-chon;2JFljHPanIjYy2QqfNYvC0;chon;['instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'san diego indie'];320370;48;{'diego', 'jazz', 'math', 'indie', 'rock', 'instrumental', 'san', 'fusion', 'progressive'}
https://www.bandsintown.com/a/1241311-alcest;0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296759;48;{'post-black', 'french', 'post-metal', 'blackgaze', 'atmospheric', 'black', 'metal', 'emotional', 'shoegaze'}
https://www.bandsintown.com/a/24548-hiromi;7DeuppKQdCVhuWrzzCBBpc;hiromi;['japanese jazz', 'jazz fusion', 'modern jazz piano'];252663;48;{'jazz', 'japanese', 'piano', 'fusion', 'modern'}
https://www.bandsintown.com/a/1581798-delta-sleep;05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94145;48;{'brighton', 'indie', 'math', 'rock', 'british', 'pop'}
https://www.bandsintown.com/a/296639-haken;2SRIVGDkdqQnrQdaXxDkJt;haken;['progressive metal'];221430;47;{'metal', 'progressive'}
https://www.bandsintown.com/a/39581-avishai-cohen;5wu05jGsVMAFHYMYHqCB9l;avishai cohen;['contemporary jazz', 'israeli jazz', 'jazz', 'jazz double bass', 'jazz trumpet'];209283;47;{'jazz', 'double', 'bass', 'israeli', 'trumpet', 'contemporary'}
