external_urls;followers;genres;href;id;images;name;popularity;type;uri;most_genre;specific_genre
{'spotify': 'https://open.spotify.com/artist/00Uv0804nrBM2RxUBTkyHj'};18640;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];https://api.spotify.com/v1/artists/00Uv0804nrBM2RxUBTkyHj;00Uv0804nrBM2RxUBTkyHj;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6ce3b74c2e4c71bf882ed2cf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746ce3b74c2e4c71bf882ed2cf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786ce3b74c2e4c71bf882ed2cf', 'width': 160}];wobbler;18;artist;spotify:artist:00Uv0804nrBM2RxUBTkyHj;[(5, 'progressive rock'), (4, 'italian progressive rock'), (1, 'norwegian prog'), (1, 'neo-progressive'), (1, 'c64')];{'neo-progressive', 'rock', 'progressive', 'prog', 'italian', 'c64', 'norwegian'}
{'spotify': 'https://open.spotify.com/artist/02fDf7HEPtBZLtPzCyxSR2'};17506;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];https://api.spotify.com/v1/artists/02fDf7HEPtBZLtPzCyxSR2;02fDf7HEPtBZLtPzCyxSR2;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe456c0e91da965f7bfb90b60', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e456c0e91da965f7bfb90b60', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e456c0e91da965f7bfb90b60', 'width': 160}];lanark artefax;21;artist;spotify:artist:02fDf7HEPtBZLtPzCyxSR2;[(4, 'uk experimental electronic'), (4, 'mandible'), (4, 'fluxwork'), (3, 'deconstructed club'), (2, 'scottish electronic')];{'deconstructed', 'experimental', 'mandible', 'uk', 'fluxwork', 'scottish', 'electronic', 'club'}
{'spotify': 'https://open.spotify.com/artist/058thnz6odaxoAN4n3cMBN'};146604;['bergamo indie', 'italian alternative'];https://api.spotify.com/v1/artists/058thnz6odaxoAN4n3cMBN;058thnz6odaxoAN4n3cMBN;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3d66c8edfe99c00a8ef9aeca', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743d66c8edfe99c00a8ef9aeca', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783d66c8edfe99c00a8ef9aeca', 'width': 160}];verdena;43;artist;spotify:artist:058thnz6odaxoAN4n3cMBN;[(5, 'italian alternative'), (1, 'bergamo indie')];{'indie', 'alternative', 'bergamo', 'italian'}
{'spotify': 'https://open.spotify.com/artist/05MlomiA9La0OiNIAGqECk'};94217;['brighton indie', 'british math rock', 'math pop', 'math rock'];https://api.spotify.com/v1/artists/05MlomiA9La0OiNIAGqECk;05MlomiA9La0OiNIAGqECk;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd120e8e0aecc07343080c998', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d120e8e0aecc07343080c998', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d120e8e0aecc07343080c998', 'width': 160}];delta sleep;48;artist;spotify:artist:05MlomiA9La0OiNIAGqECk;[(9, 'math rock'), (2, 'math pop'), (2, 'british math rock'), (1, 'brighton indie')];{'british', 'indie', 'rock', 'pop', 'brighton', 'math'}
{'spotify': 'https://open.spotify.com/artist/05tfXy5v0DpYvuy4Sot4Nu'};10583;['breakcore', 'cybergrind'];https://api.spotify.com/v1/artists/05tfXy5v0DpYvuy4Sot4Nu;05tfXy5v0DpYvuy4Sot4Nu;[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c10580abb88b99b1fe673470', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c10580abb88b99b1fe673470', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c10580abb88b99b1fe673470', 'width': 64}];whourkr;14;artist;spotify:artist:05tfXy5v0DpYvuy4Sot4Nu;[(6, 'breakcore'), (3, 'cybergrind')];{'breakcore', 'cybergrind'}
{'spotify': 'https://open.spotify.com/artist/07UJz804RJxqNvxFXC3h9H'};148628;['future bass', 'scottish electronic', 'vapor twitch'];https://api.spotify.com/v1/artists/07UJz804RJxqNvxFXC3h9H;07UJz804RJxqNvxFXC3h9H;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf12dce1f08455e9c33503418', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f12dce1f08455e9c33503418', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f12dce1f08455e9c33503418', 'width': 160}];sam gellaitry;54;artist;spotify:artist:07UJz804RJxqNvxFXC3h9H;[(2, 'vapor twitch'), (2, 'scottish electronic'), (2, 'future bass')];{'twitch', 'bass', 'vapor', 'scottish', 'future', 'electronic'}
{'spotify': 'https://open.spotify.com/artist/08hpJXZImSYgSb8kEbyXAA'};2240;[];https://api.spotify.com/v1/artists/08hpJXZImSYgSb8kEbyXAA;08hpJXZImSYgSb8kEbyXAA;[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731ad1ef4ce276351093383bd2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021ad1ef4ce276351093383bd2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511ad1ef4ce276351093383bd2', 'width': 64}];reflux;4;artist;spotify:artist:08hpJXZImSYgSb8kEbyXAA;[];set()
{'spotify': 'https://open.spotify.com/artist/0AZ3VR0YbFcS0Kgei7L2QF'};258536;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];https://api.spotify.com/v1/artists/0AZ3VR0YbFcS0Kgei7L2QF;0AZ3VR0YbFcS0Kgei7L2QF;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4135811d6dba8cd9d1a1725f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744135811d6dba8cd9d1a1725f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784135811d6dba8cd9d1a1725f', 'width': 160}];russian circles;46;artist;spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF;[(20, 'post-metal'), (14, 'instrumental rock'), (13, 'post-rock'), (12, 'instrumental post-rock'), (10, 'sludge metal'), (4, 'american post-rock')];{'post-metal', 'sludge', 'rock', 'post-rock', 'american', 'metal', 'instrumental'}
{'spotify': 'https://open.spotify.com/artist/0AhnRzNnHI2Yhx9d00H5Cp'};17927;['djent', 'progressive metal', 'sci-fi metal'];https://api.spotify.com/v1/artists/0AhnRzNnHI2Yhx9d00H5Cp;0AhnRzNnHI2Yhx9d00H5Cp;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb999db6feef146e2aa72cb198', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174999db6feef146e2aa72cb198', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178999db6feef146e2aa72cb198', 'width': 160}];rendezvous point;28;artist;spotify:artist:0AhnRzNnHI2Yhx9d00H5Cp;[(22, 'djent'), (16, 'progressive metal'), (6, 'sci-fi metal')];{'metal', 'djent', 'sci-fi', 'progressive'}
{'spotify': 'https://open.spotify.com/artist/0CfjW2VuMdrhWodHtG7DWi'};51031;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];https://api.spotify.com/v1/artists/0CfjW2VuMdrhWodHtG7DWi;0CfjW2VuMdrhWodHtG7DWi;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5157dc180bb8ba94d7693a24', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745157dc180bb8ba94d7693a24', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785157dc180bb8ba94d7693a24', 'width': 160}];envy;35;artist;spotify:artist:0CfjW2VuMdrhWodHtG7DWi;[(13, 'post-rock'), (5, 'japanese post-rock'), (2, 'japanese screamo'), (2, 'japanese post-hardcore'), (2, 'japanese emo')];{'post-hardcore', 'post-rock', 'emo', 'japanese', 'screamo'}
