id;name;genres;followers;popularity;specific_genre
00Uv0804nrBM2RxUBTkyHj;wobbler;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];18638;18;{'prog', 'neo-progressive', 'italian', 'progressive', 'rock', 'c64', 'norwegian'}
02fDf7HEPtBZLtPzCyxSR2;lanark artefax;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];17498;21;{'electronic', 'mandible', 'fluxwork', 'scottish', 'club', 'experimental', 'uk', 'deconstructed'}
058thnz6odaxoAN4n3cMBN;verdena;['bergamo indie', 'italian alternative'];146572;43;{'alternative', 'indie', 'italian', 'bergamo'}
05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94145;48;{'indie', 'british', 'pop', 'brighton', 'math', 'rock'}
05tfXy5v0DpYvuy4Sot4Nu;whourkr;['breakcore', 'cybergrind'];10584;14;{'cybergrind', 'breakcore'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148604;54;{'electronic', 'vapor', 'scottish', 'bass', 'twitch', 'future'}
08hpJXZImSYgSb8kEbyXAA;reflux;[];2239;4;set()
0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258467;46;{'sludge', 'metal', 'instrumental', 'post-rock', 'post-metal', 'rock', 'american'}
0AhnRzNnHI2Yhx9d00H5Cp;rendezvous point;['djent', 'progressive metal', 'sci-fi metal'];17920;28;{'metal', 'djent', 'progressive', 'sci-fi'}
0CfjW2VuMdrhWodHtG7DWi;envy;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];50990;35;{'post-rock', 'japanese', 'emo', 'post-hardcore', 'screamo'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169851;45;{'contemporary', 'modern', 'armenian', 'piano', 'folk', 'jazz'}
0EDuC6lJh1F3Z9I7h62nFe;andrea cotroneo;[];224;2;set()
0FRKTwQSToXpCxYMhyUzYY;have a nice life;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];418175;55;{'blackgaze', 'gaze', 'pop', 'nu', 'doomgaze', 'dream'}
0GDGKpJFhVpcjIGF8N6Ewt;gojira;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];1533806;67;{'metal', 'alternative', 'nu', 'progressive', 'death', 'groove', 'french'}
0H9VJTe5YIHfLKqor9C5Ln;mark applebaum;['tzadik'];859;1;{'tzadik'}
0HJQZHbKgYyWCDc8uVko6S;rosetta;['atmospheric post-metal', 'drone metal', 'philly indie', 'post-metal', 'sci-fi metal', 'sludge metal'];37764;24;{'metal', 'sludge', 'indie', 'atmospheric', 'sci-fi', 'post-metal', 'drone', 'philly'}
0Ivm3PYwfVFeq2trxYqLi2;*shels;['atmospheric post-metal', 'instrumental post-rock', 'post-metal', 'post-rock'];24641;24;{'post-metal', 'instrumental', 'post-rock', 'atmospheric'}
0LGX3mkYo7ckQz4JyZrifu;jardín de la croix;['spanish indie rock', 'spanish metal', 'spanish post-rock', 'spanish progressive rock'];7449;9;{'metal', 'indie', 'post-rock', 'progressive', 'rock', 'spanish'}
0MG4LXIw7n4x0wjDc6WYXk;this will destroy you;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];247240;44;{'metal', 'instrumental', 'post-rock', 'doomgaze', 'ambient', 'drone', 'american'}
0QBQgTnTS6JORFHr7k0KRJ;gomma;['italian alternative', 'italian emo', 'italian indie pop'];22498;27;{'alternative', 'indie', 'emo', 'pop', 'italian'}
0WPY9nnBy01s5QOt4o4oQX;ride;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];239950;46;{'alternative', 'oxford', 'indie', 'pop', 'dream', 'rock', 'shoegaze', 'britpop'}
0YHxyyD4PHmFZipMtvH5K5;mark hartsuch;[];337;7;set()
0YbvZPP1HufDyWIsR0ei6K;skyharbor;['djent', 'indian metal'];62687;30;{'indian', 'metal', 'djent'}
0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];173605;37;{'british', 'jazz', 'psych', 'chamber'}
0c0xIXQhCbmtvzM93liaSf;blut aus nord;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];75886;32;{'metal', 'blackgaze', 'atmospheric', 'cosmic', 'voidgaze', 'post-metal', 'drone', 'avant-garde', 'black', 'french'}
0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296759;48;{'metal', 'blackgaze', 'atmospheric', 'emotional', 'post-black', 'post-metal', 'black', 'french', 'shoegaze'}
0dPLWmQMIFZaCs8GCIZ1Zr;casa del mirto;['chillwave'];10703;18;{'chillwave'}
0jNDKefhfSbLR9sFvcPLHo;san holo;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];696091;57;{'brostep', 'trap', 'electronic', 'dance', 'pop', 'bass', 'future', 'house', 'edm', 'electro'}
0pSx3asj3usz5PRt8COo0E;ketama126;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];318162;56;{'italiano', 'drill', 'trap', 'emo', 'italian', 'italiana', 'hop', 'rap', 'hip'}
0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];399472;57;{'art', 'pop', 'room', 'r&b', 'experimental', 'hypnagogic', 'escape'}
0rpKM0MniNkXM1SLSglYUZ;toe;['instrumental math rock', 'instrumental post-rock', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo'];308073;50;{'midwest', 'instrumental', 'post-rock', 'japanese', 'emo', 'math', 'rock'}
0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208121;49;{'instrumental', 'djent', 'rock'}
0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986106;59;{'metal', 'alternative', 'progressive', 'death', 'swedish'}
0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57709;33;{'veneto', 'alternative', 'indie', 'italian', 'jazzcore'}
0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123009;40;{'instrumental', 'djent', 'thall'}
0zZRbZrBprUwWRKnbaIEXq;øjne;['italian emo', 'italian post-hardcore', 'italian screamo', 'skramz'];11672;22;{'skramz', 'emo', 'italian', 'post-hardcore', 'screamo'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15098504;86;{'coast', 'hop', 'rap', 'east', 'hip'}
14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100928;35;{'instrumental', 'electronic', 'cyberpunk', 'djent', 'future', 'rock'}
150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137797;38;{'metal', 'technical', 'death', 'black', 'norwegian'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47054352;89;{'emo', 'hop', 'rap', 'hip', 'miami'}
16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102887;31;{'metal', 'instrumental', 'djent', 'progressive', 'math', 'rock', 'jazz', 'fusion'}
17qfMEjKb5ry8L8mekQZfd;intronaut;['djent', 'jazz metal', 'post-metal', 'sludge metal'];66716;27;{'metal', 'sludge', 'djent', 'post-metal', 'jazz'}
183vQCgpuNJHxdDCYIpkA4;crash of rhinos;['derby indie', 'midwest emo'];8572;16;{'midwest', 'emo', 'indie', 'derby'}
18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84306;35;{'indie', 'canadian', 'crank', 'pop', 'noise', 'rock', 'wave', 'punk', 'post-hardcore'}
19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246877;46;{'indie', 'jazztronica', 'contemporary', 'modern', 'british', 'progressive', 'trio', 'jazz', 'fusion'}
1AKQ12On2ydAN0jykcB929;aquilus;['atmospheric black metal', 'australian black metal', 'autonomous black metal', 'folk black metal', 'voidgaze'];14829;20;{'metal', 'atmospheric', 'australian', 'autonomous', 'voidgaze', 'folk', 'black'}
1DGpHnPOpMYY780hcQHmPB;hiroshi yoshimura;['ambient', 'fourth world', 'j-ambient'];115762;42;{'world', 'fourth', 'ambient', 'j-ambient'}
1Dvfqq39HxvCJ3GvfeIFuT;mastodon;['alternative metal', 'atlanta metal', 'metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock'];941882;61;{'metal', 'sludge', 'alternative', 'atlanta', 'progressive', 'stoner', 'rock', 'groove'}
1JSPpoXFLcEG2WhYlvmHPJ;yosi horikawa;['abstract beats', 'japanese experimental', 'japanese idm'];57323;34;{'beats', 'japanese', 'abstract', 'experimental', 'idm'}
1JsBuuKCnA43vrlM1X4cKN;monika roscher bigband;['munich indie'];19630;27;{'indie', 'munich'}
1KHydwFySZY3YcWyo2q2dF;neurosis;['atmospheric post-metal', 'atmospheric sludge', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'progressive sludge', 'sludge metal'];143138;34;{'sludge', 'metal', 'atmospheric', 'post-doom', 'progressive', 'post-metal', 'drone', 'doom'}
1MD5pgVzlusqGyuSTcTxvu;premiata forneria marconi;['italian progressive rock', 'progressive rock'];120559;37;{'rock', 'italian', 'progressive'}
1PvIhDSob4VErWq8ssWdmA;la psicosi di ottobre;[];25;8;set()
1UiZqQoNAT4bs0uCK3biS9;ornaments;[];622;4;set()
1V4jsLjkic1Mxvdke86Qth;the aristocrats;['instrumental rock', 'progressive jazz fusion', 'progressive metal', 'traditional funk'];120447;36;{'metal', 'instrumental', 'traditional', 'progressive', 'funk', 'rock', 'jazz', 'fusion'}
1binm59tmJzoZLvLETVYBP;jesu;['birmingham metal', 'british experimental', 'doomgaze', 'drone', 'drone metal', 'dub metal', 'post-metal', 'shoegaze', 'uk doom metal', 'uk post-metal'];62689;29;{'metal', 'uk', 'british', 'dub', 'birmingham', 'doomgaze', 'post-metal', 'drone', 'doom', 'experimental', 'shoegaze'}
1cbBzQxiKcZCsit68iTbTJ;lantlôs;['atmospheric black metal', 'blackgaze', 'doomgaze', 'emotional black metal', 'german black metal', 'post-metal'];56793;31;{'metal', 'german', 'blackgaze', 'atmospheric', 'emotional', 'doomgaze', 'post-metal', 'black'}
1hTlyo5QWVHUA3xUGgXqa5;proem;['abstract', 'ambient idm', 'deep idm', 'drill and bass', 'glitch', 'intelligent dance music'];13316;21;{'drill', 'abstract', 'dance', 'bass', 'music', 'deep', 'ambient', 'and', 'intelligent', 'glitch', 'idm'}
1iqXhsjGeWi2Gje5q0mFYb;xxyyxx;['chillwave', 'wonky'];255436;39;{'chillwave', 'wonky'}
1j8QyWpOJKAe6Iw2KvEg2j;audiotree;[];17477;58;set()
1kYsYRtVq1Po3luPqeAnm2;exivious;['djent', 'instrumental death metal', 'instrumental rock', 'jazz metal', 'progressive jazz fusion'];14604;16;{'metal', 'instrumental', 'djent', 'progressive', 'death', 'rock', 'jazz', 'fusion'}
1nw8iwDkSSHqn8S343ODcp;chassol;[];51685;36;set()
1oR9pQhucVTJyi5lH2Y2iT;blank banshee;['future funk', 'vaportrap', 'vaporwave'];114563;38;{'funk', 'vaporwave', 'vaportrap', 'future'}
1uRpg2s2jNaxbmoNiJDGfd;pain of salvation;['prog metal', 'progressive metal', 'swedish progressive metal'];137891;41;{'prog', 'metal', 'swedish', 'progressive'}
1uvnDqn7UvVy6orSq1E2YF;sungazer;['livetronica', 'progressive jazz fusion'];96110;44;{'progressive', 'jazz', 'livetronica', 'fusion'}
