id;name;genres;followers;popularity;specific_genre
3kZdsaTYgaaolNxpnJ4iDe;son lux;['abstract hip hop'];327282;51;{'abstract', 'hop', 'hip'}
6u8UPZWKY8jqYptL2UunVd;julia vigliarolo;[];59;0;set()
5GzH8EsRPqgNjNo3oBfRvk;sarathy korwar;['experimental jazz', 'indian jazz'];18961;29;{'experimental', 'jazz', 'indian'}
3rvT6hIhacQRDl1STJ2rTT;casimir liberski;[];3146;11;set()
3uHCTHxtg3IVAvhyrYsZvI;rolo tomassi;['chaotic hardcore', 'cybergrind', 'mathcore', 'nintendocore', 'uk metalcore', 'uk post-hardcore'];65269;36;{'mathcore', 'uk', 'chaotic', 'post-hardcore', 'nintendocore', 'cybergrind', 'metalcore', 'hardcore'}
1PvIhDSob4VErWq8ssWdmA;la psicosi di ottobre;[];36;6;set()
6yKttjzeTv9imIZbAJPSqB;villa psicosi;[];412;4;set()
5IikWY4p2vKlH5jZqwlK05;precipice;[];235;8;set()
5YkOoDfxepfrbbyuimbo8c;eabs;['polish jazz', 'polish modern jazz'];19432;26;{'polish', 'modern', 'jazz'}
5sTK6YZhFjR9eGDYtlYBCq;bipolar order;[];34;0;set()
5RFPnJvmjFkImIjgsWsdVx;noam leor;[];183;4;set()
5mTGpQS4ifoFofw6ilhyqN;rototypical;[];891;4;set()
4HpJwqRQMbJQ4MyuLHfKRP;sunset mission;['deep progressive rock'];3772;8;{'deep', 'rock', 'progressive'}
62evrwxHqQSN16y9hwSLfg;taylor j hawkins;[];1924;9;set()
4azDTEsE76hndB8paNOEe8;zaharenco;[];254;6;set()
6syYSX0eLH4srCtXhUEMXD;zeta;['math rock latinoamericano'];17798;25;{'rock', 'math', 'latinoamericano'}
6mtABo05yeYtPftYEVfGoV;clown core;['breakcore'];124800;42;{'breakcore'}
4RMQMEKlQ7AmPY3UnmciQk;sandia;[];2603;19;set()
3Md3TqrojN6GPhCGC9jGaU;areni agbabian;['experimental jazz'];5894;24;{'experimental', 'jazz'}
6MjptgkJeSDoQsPDVxQ5oo;aeham ahmad;[];504;5;set()
2uz9ERD3U5c4F2CZDS0mzb;maria chiara argirò;[];9935;35;set()
5sDMCDpqCKv0UrjRYn2dcA;tyler lee jones;[];279;5;set()
3C1TdpEowpf6AMf7PycuWy;nate smith;['contemporary jazz', 'uk contemporary jazz'];78465;42;{'contemporary', 'uk', 'jazz'}
1JsBuuKCnA43vrlM1X4cKN;monika roscher bigband;['munich indie'];20799;26;{'indie', 'munich'}
2KiM6weN3ZIpgR5QekkSoJ;spiral architect;['jazz metal', 'norwegian metal'];3784;4;{'metal', 'norwegian', 'jazz'}
0YHxyyD4PHmFZipMtvH5K5;mark hartsuch;[];370;11;set()
1nw8iwDkSSHqn8S343ODcp;chassol;[];52138;37;set()
08hpJXZImSYgSb8kEbyXAA;reflux;[];2260;4;set()
66iP8O2dQRaGjVTr42vW0V;richard henshall;['jazz metal', 'modern progressive rock', 'progressive metal'];11642;29;{'modern', 'progressive', 'metal', 'rock', 'jazz'}
42iuvQyqIVy6vK3DRwHFwR;rubi ate the fig;[];1211;11;set()
38PMvw2FdepCpankD64TZL;inanna;[];1976;14;set()
1kYsYRtVq1Po3luPqeAnm2;exivious;['djent', 'instrumental death metal', 'instrumental rock', 'jazz metal', 'progressive jazz fusion'];14698;16;{'djent', 'progressive', 'metal', 'instrumental', 'fusion', 'rock', 'jazz', 'death'}
5gqhueRUZEa7VDnQt4HODp;nils frahm;['compositional ambient', 'electronica', 'neoclassical darkwave'];674921;61;{'darkwave', 'neoclassical', 'electronica', 'compositional', 'ambient'}
7iF8WHm0PoYS4AnEebM3bv;weston super maim;['mathcore'];3040;15;{'mathcore'}
7CJOQujUReYlz6764HKQWz;equinox trio;[];339;3;set()
6RuS4udHwx3C9ysk4KXtNw;jizue;['japanese jazz fusion', 'japanese post-rock', 'math rock', 'progressive jazz fusion'];47737;36;{'rock', 'japanese', 'progressive', 'fusion', 'math', 'post-rock', 'jazz'}
6NVzd3Lv9yMFIf1bsXNLIp;mouse on the keys;['instrumental math rock', 'japanese post-rock', 'math rock', 'modern jazz trio'];70075;36;{'post-rock', 'trio', 'japanese', 'modern', 'instrumental', 'math', 'rock', 'jazz'}
1j8QyWpOJKAe6Iw2KvEg2j;audiotree;[];18813;59;set()
5C4iAQXHETeW2mJgsNeqQQ;jojo mayer;['livetronica'];34770;25;{'livetronica'}
5wu05jGsVMAFHYMYHqCB9l;avishai cohen;['contemporary jazz', 'israeli jazz', 'jazz', 'jazz double bass', 'jazz trumpet'];211197;49;{'contemporary', 'israeli', 'double', 'trumpet', 'bass', 'jazz'}
7DeuppKQdCVhuWrzzCBBpc;hiromi;['japanese jazz', 'jazz fusion', 'modern jazz piano'];254990;48;{'piano', 'japanese', 'modern', 'fusion', 'jazz'}
6ZK2nrW8aCTg8Bid7I7N10;chelsea wolfe;['dark pop', 'doomgaze', 'gaian doom', 'sacramento indie'];329315;53;{'pop', 'indie', 'doom', 'sacramento', 'gaian', 'doomgaze', 'dark'}
5r1fQsxkiQl0VwUlERnDBP;car bomb;['american metalcore', 'avant-garde metal', 'djent', 'mathcore'];65935;33;{'mathcore', 'djent', 'american', 'metal', 'metalcore', 'avant-garde'}
4f5V3PQ66nIrBCqugJtaGn;death;['death metal', 'dissonant death metal', 'florida death metal', 'groove metal', 'hard rock', 'metal', 'speed metal', 'technical death metal'];937985;58;{'hard', 'groove', 'speed', 'metal', 'dissonant', 'technical', 'florida', 'rock', 'death'}
7w2cQkraSNaYeHe5nHgvA8;cosmic putrefaction;['cosmic death metal', 'dissonant death metal', 'italian death metal'];9261;23;{'cosmic', 'metal', 'dissonant', 'italian', 'death'}
4S6FYETKT9NCN4zSD8xzJe;nugara trio;[];174;8;set()
3IuEuLez19teZSN32Pf70j;mononeon;['funktronica', 'microtonal'];71926;38;{'funktronica', 'microtonal'}
3JMctIRwcYkN013icoOggA;jeremy ledbetter trio;[];4486;22;set()
7E1Rns82siABgS79x6FTEO;gonin-ish;['jazz metal'];2140;5;{'metal', 'jazz'}
2hbkBlGBgvJkC3tpUn9w4C;mgła;['atmospheric black metal', 'black metal', 'polish black metal'];150562;42;{'metal', 'black', 'atmospheric', 'polish'}
2F9WG9ugzneeesOZfmQ18V;shubh saran;['indian jazz'];29968;30;{'jazz', 'indian'}
0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];174542;38;{'british', 'psych', 'chamber', 'jazz'}
2q37Nw8NND2z1T1KU5XVfn;christian scott atunde adjuah;['contemporary jazz', 'experimental jazz', 'jazz', 'jazz trumpet', 'new orleans jazz'];141984;38;{'contemporary', 'experimental', 'trumpet', 'orleans', 'jazz', 'new'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];171786;44;{'armenian', 'piano', 'contemporary', 'modern', 'folk', 'jazz'}
2IhojRjOLxPzx5Y7nKjwJg;zeus;['jazzcore'];774;4;{'jazzcore'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15335518;86;{'hip', 'east', 'rap', 'coast', 'hop'}
29PgYwTelpNl6370XLqFtN;cryptopsy;['black metal', 'brutal death metal', 'canadian metal', 'death metal', 'quebec death metal', 'technical death metal', 'technical deathcore', 'technical melodic death metal', 'thrash metal'];169134;41;{'black', 'quebec', 'metal', 'deathcore', 'thrash', 'technical', 'canadian', 'melodic', 'brutal', 'death'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47570509;89;{'emo', 'hip', 'rap', 'miami', 'hop'}
4KoZpKiPeX4jIi7Euwcfuo;thou;['drone metal', 'gaian doom', 'louisiana metal', 'post-doom metal', 'sludge metal', 'voidgrind'];88849;40;{'louisiana', 'doom', 'voidgrind', 'metal', 'gaian', 'sludge', 'drone', 'post-doom'}
0pSx3asj3usz5PRt8COo0E;ketama126;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];318759;56;{'emo', 'trap', 'hip', 'rap', 'italiana', 'drill', 'hop', 'italian', 'italiano'}
1cbBzQxiKcZCsit68iTbTJ;lantlôs;['atmospheric black metal', 'blackgaze', 'doomgaze', 'emotional black metal', 'german black metal', 'post-metal'];57255;31;{'black', 'blackgaze', 'emotional', 'atmospheric', 'german', 'metal', 'doomgaze', 'post-metal'}
0c0xIXQhCbmtvzM93liaSf;blut aus nord;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];76390;31;{'french', 'black', 'cosmic', 'voidgaze', 'blackgaze', 'atmospheric', 'metal', 'drone', 'avant-garde', 'post-metal'}
7yMpYMZTr6Hm1Dm5CR0CRZ;an autumn for crippled children;['atmospheric black metal', 'avant-garde black metal', 'blackgaze', 'dutch black metal', 'dutch shoegaze', 'emotional black metal'];35764;28;{'black', 'shoegaze', 'blackgaze', 'emotional', 'atmospheric', 'metal', 'dutch', 'avant-garde'}
3nzs6bowitMirGXyGQ72Qx;amesoeurs;['atmospheric black metal', 'blackgaze', 'french black metal', 'french shoegaze', 'gaian doom', 'post-black metal', 'post-metal'];50000;28;{'french', 'black', 'post-black', 'shoegaze', 'blackgaze', 'doom', 'atmospheric', 'metal', 'gaian', 'post-metal'}
3XFQRe2FsSOjrODygK4caW;oranssi pazuzu;['atmospheric black metal', 'avant-garde metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'finnish black metal', 'finnish psychedelic rock', 'post-black metal', 'post-metal', 'sci-fi metal', 'voidgaze'];64722;40;{'post-black', 'black', 'cosmic', 'voidgaze', 'psychedelic', 'blackgaze', 'atmospheric', 'sci-fi', 'metal', 'finnish', 'drone', 'rock', 'avant-garde', 'post-metal'}
74KPeP60dRLSAAk7sFtWTC;sleepytime gorilla museum;['avant-garde metal', 'avant-prog', 'avant-rock', 'funk metal', 'rock in opposition'];32180;23;{'funk', 'opposition', 'avant-rock', 'metal', 'avant-prog', 'in', 'rock', 'avant-garde'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];150091;54;{'electronic', 'scottish', 'future', 'vapor', 'bass', 'twitch'}
0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];404169;58;{'pop', 'escape', 'room', 'hypnagogic', 'experimental', 'r&b', 'art'}
4CuMwzDzEdlUJMEna38VQ0;dark polo gang;['italian hip hop', 'italian indie pop', 'italian pop', 'trap italiana'];1379355;61;{'pop', 'indie', 'trap', 'hip', 'italiana', 'hop', 'italian'}
49UAapOfpOg1ZOU4xf2NgY;noyz narcos;['italian hip hop', 'italian underground hip hop'];827677;67;{'underground', 'hip', 'hop', 'italian'}
5kPedB70NoaucwCvU7awih;artist page redirect cleanup 2023;[];91;0;set()
5F2anLSPQ3kdRkTcDm1ZDe;satoshy;[];235;0;set()
0EDuC6lJh1F3Z9I7h62nFe;andrea cotroneo;[];224;2;set()
4GBjy5w1YnrQaRzvMSVKtv;nina;[];59;0;set()
