Name;Country;Genre;Status;URL
A // Solution;United States;Crust Punk/Thrash Metal;Split-up;https://www.metal-archives.com/bands/A_--_Solution/3540442600
A 12 Gauge Tragedy;United States;Deathcore;Split-up;https://www.metal-archives.com/bands/A_12_Gauge_Tragedy/3540480258
A Balance of Power;United States;Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/A_Balance_of_Power/3540352307
A Band Named Jon;United States;Brutal Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/A_Band_Named_Jon/3540535978
A Band of Orcs;United States;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/A_Band_of_Orcs/108513
A Baptism by Fire;Canada;Progressive Power Metal;Active;https://www.metal-archives.com/bands/A_Baptism_by_Fire/3540412046
A Bastard's Breath;United States;Raw Black Metal;Active;https://www.metal-archives.com/bands/A_Bastard%27s_Breath/3540502761
A Belt Above Black;United States;Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/A_Belt_Above_Black/3540484133
A Billion Limbs;United Kingdom;Groove Metal/Deathcore;Active;https://www.metal-archives.com/bands/A_Billion_Limbs/3540473101
A Binding Spirit;Germany;Black Metal/Ambient;Active;https://www.metal-archives.com/bands/A_Binding_Spirit/3540462261
A Black Cold Diamond;Colombia;Heavy/Doom Metal;Active;https://www.metal-archives.com/bands/A_Black_Cold_Diamond/3540525193
A Blackened Sight;Spain;Metalcore;Active;https://www.metal-archives.com/bands/A_Blackened_Sight/3540439877
A Blind Beggar;Colombia;Metalcore;Active;https://www.metal-archives.com/bands/A_Blind_Beggar/3540484581
A Blind Prophecy;United States;Melodic/Progressive Metal;Split-up;https://www.metal-archives.com/bands/A_Blind_Prophecy/18563
A Bloody Chasm;United States;Heavy Metal/Grunge;Active;https://www.metal-archives.com/bands/A_Bloody_Chasm/3540501127
A Bloody Epitaph;United States;Deathcore;Changed name;https://www.metal-archives.com/bands/A_Bloody_Epitaph/111183
A Body Falls;United States;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/A_Body_Falls/103063
A Bond Between;Germany;Melodic Death/Groove Metal;Active;https://www.metal-archives.com/bands/A_Bond_Between/3540514577
A Breach of Silence;Australia;Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/A_Breach_of_Silence/3540371582
A Break in the Storm;United States;Metalcore;Split-up;https://www.metal-archives.com/bands/A_Break_in_the_Storm/3540333609
A Breath Before Surfacing;United States;Deathcore;Split-up;https://www.metal-archives.com/bands/A_Breath_Before_Surfacing/121141
