Name;Country;Genre;Status;URL
B and R;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/B_and_R/3540263459
B Chaos;Mexico;Groove Metal;Active;https://www.metal-archives.com/bands/B_Chaos/3540394520
B on Reason;Brazil;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/B_on_Reason/3540493686
B-612;Uruguay;Melodic Black Metal;Active;https://www.metal-archives.com/bands/B-612/3540394819
B-Code;Italy;Stoner Metal;Changed name;https://www.metal-archives.com/bands/B-Code/3540324840
B-Low;Netherlands;Death/Doom Metal;Active;https://www.metal-archives.com/bands/B-Low/23527
B-Rex-Tron;United States;Melodic Death/Thrash Metal;Active;https://www.metal-archives.com/bands/B-Rex-Tron/3540499280
B-Rude;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/B-Rude/3540473760
B-Slammin';United States;Slam/Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/B-Slammin%27/3540496385
B-Thong;Sweden;Groove Metal/Hardcore;Unknown;https://www.metal-archives.com/bands/B-Thong/7755
B-Toon;Poland;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/B-Toon/3540341453
B.A.R.F.;Canada;Thrash Metal/Hardcore;Active;https://www.metal-archives.com/bands/B.A.R.F./3723
B.Æ.S.J.;Norway;Black/Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/B.%C3%86.S.J./3540301010
B.B.P.;Netherlands;Thrash Metal;Split-up;https://www.metal-archives.com/bands/B.B.P./37074
B.B.R.;Czechia;Thrash Metal;Active;https://www.metal-archives.com/bands/B.B.R./101592
B.C:A.D.;United States;Heavy Metal/Punk/Crossover;Active;https://www.metal-archives.com/bands/B.C%3AA.D./3540423261
B.C.;United States;Black Metal;Active;https://www.metal-archives.com/bands/B.C./3540348563
B.D. Union;Japan;Thrash/Groove Metal/Hardcore;Active;https://www.metal-archives.com/bands/B.D._Union/3540276054
B.D.Ö.;Estonia;Heavy/Thrash Metal, Crossover;Split-up;https://www.metal-archives.com/bands/B.D.%C3%96./38027
B.D.S.;Mexico;Thrash Metal;Active;https://www.metal-archives.com/bands/B.D.S./102656
B.E.E.R.;Mexico;Thrash Metal;Active;https://www.metal-archives.com/bands/B.E.E.R./3540488557
B.E.N.T.;United States;Progressive Power Metal;Split-up;https://www.metal-archives.com/bands/B.E.N.T./21567
B.F. Raid;United States;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/B.F._Raid/3540534116
B.F.C.;Russia;Black/Thrash Metal;Split-up;https://www.metal-archives.com/bands/B.F.C./3540374431
B.F.T.E.;Bolivia;Black Metal/Crust Punk;Active;https://www.metal-archives.com/bands/B.F.T.E./3540479153
B.G.T.;Germany;Death Metal;On hold;https://www.metal-archives.com/bands/B.G.T./55493
B.H.P.;Croatia;Death Metal;Split-up;https://www.metal-archives.com/bands/B.H.P./57978
B.H.S.;Unknown;Black Metal;Unknown;https://www.metal-archives.com/bands/B.H.S./3540466767
B.L.C.;United States;Black Metal;Changed name;https://www.metal-archives.com/bands/B.L.C./3540477782
B.L.E.E.D.;Greece;Thrash Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/B.L.E.E.D./111075
