Name;Country;Genre;Status;URL
D;Japan;Symphonic Gothic Metal with Folk influences;On hold;https://www.metal-archives.com/bands/D/3540351329
D Aphelium;Sweden;Black Metal;Active;https://www.metal-archives.com/bands/D_Aphelium/3540420873
D Creation;Finland;Melodic Death/Groove Metal;Active;https://www.metal-archives.com/bands/D_Creation/100308
D I I U M;Paraguay;Sludge/Stoner Metal;Active;https://www.metal-archives.com/bands/D_I_I_U_M/3540418947
D Patrol;France;Progressive/Stoner Metal;Active;https://www.metal-archives.com/bands/D_Patrol/3540511459
D with Us;Italy;Melodic Death Metal;Active;https://www.metal-archives.com/bands/D_with_Us/3540414170
D_Drive;Japan;Progressive Metal/Rock, Shred;Active;https://www.metal-archives.com/bands/D_Drive/3540323693
D-Cayed;Finland;Heavy Metal;Unknown;https://www.metal-archives.com/bands/D-Cayed/3540357062
D-Compose;Netherlands;Grindcore;Active;https://www.metal-archives.com/bands/D-Compose/42207
D-Fense;Germany;Power Metal;Split-up;https://www.metal-archives.com/bands/D-Fense/35667
D-Filer;Germany;Thrash Metal;Active;https://www.metal-archives.com/bands/D-Filer/3540422674
D-Force;Netherlands;Heavy  Metal;Split-up;https://www.metal-archives.com/bands/D-Force/117934
D-form;Italy;Technical Death Metal;Split-up;https://www.metal-archives.com/bands/D-form/3540348825
D-Grade;Netherlands;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/D-Grade/3540271193
D-Growl;Japan;Power Metal;Active;https://www.metal-archives.com/bands/D-Growl/3540259620
D-Human;Greece;Groove Metal;Active;https://www.metal-archives.com/bands/D-Human/3540457142
D-Lusion;Germany;Progressive/Power Metal;Changed name;https://www.metal-archives.com/bands/D-Lusion/3760
D-Mencial;Argentina;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/D-Mencial/3540443358
D-Morpheüs;France;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/D-Morphe%C3%BCs/3540376419
D-Nine;Australia;Groove Metal/Metalcore;Active;https://www.metal-archives.com/bands/D-Nine/31512
D-Nine;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/D-Nine/3540302075
D-O-G;France;Heavy Metal;Active;https://www.metal-archives.com/bands/D-O-G/3540538437
D-Ozz;Russia;Thrash Metal;Active;https://www.metal-archives.com/bands/D-Ozz/123765
D-Ray;Finland;Heavy Metal;Split-up;https://www.metal-archives.com/bands/D-Ray/28980
D-river;Japan;Death Metal/Grindcore;Unknown;https://www.metal-archives.com/bands/D-river/67201
D-Sever;United States;Death Metal;Split-up;https://www.metal-archives.com/bands/D-Sever/75789
