Name;Country;Genre;Status;URL
I;Norway;Heavy/Black Metal;Split-up;https://www.metal-archives.com/bands/I/77619
I Abyssick;Greece;Heavy/Gothic Metal;Active;https://www.metal-archives.com/bands/I_Abyssick/3540490956
I Am;United States;"Deathcore (early); Death/Groove Metal (later)";Active;https://www.metal-archives.com/bands/I_Am/3540512259
I Am;Germany;Black Metal;Changed name;https://www.metal-archives.com/bands/I_Am/3540457262
I Am a Preacher;Belarus;Hardcore/Black Metal;Active;https://www.metal-archives.com/bands/I_Am_a_Preacher/3540479775
I Am All Wounds;Germany;Black Metal;Active;https://www.metal-archives.com/bands/I_Am_All_Wounds/3540465755
I Am Atlas;Australia;Metalcore/Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/I_Am_Atlas/3540462010
I Am Chaos;Liechtenstein;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/I_Am_Chaos/3540385520
I Am Colossus;United Kingdom;Sludge/Doom Metal;Split-up;https://www.metal-archives.com/bands/I_Am_Colossus/3540258161
I Am Destruction;United States;Deathcore;Active;https://www.metal-archives.com/bands/I_Am_Destruction/3540438183
I Am Eternal;Australia;Deathcore;Split-up;https://www.metal-archives.com/bands/I_Am_Eternal/3540508537
I Am Havoc;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/I_Am_Havoc/3540289342
I Am I;United Kingdom;Heavy/Power Metal;Split-up;https://www.metal-archives.com/bands/I_Am_I/3540348152
I Am Lethe;Italy;Gothic Metal;Active;https://www.metal-archives.com/bands/I_Am_Lethe/3540471126
I Am Man, I Am Monster;United States;Progressive Death Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/I_Am_Man%2C_I_Am_Monster/3540416158
I Am Nothing;United States;Atmospheric Black Metal;Split-up;https://www.metal-archives.com/bands/I_Am_Nothing/3540542541
I Am Solitude;Spain;Gothic Metal;Active;https://www.metal-archives.com/bands/I_Am_Solitude/3540472723
I Am the Arcane;Spain;Gothic Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Arcane/3540452764
I Am the Beholder;Russia;Melodic Doom/Death/Post-Black Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Beholder/3540518913
I Am the Captain;United States;Stoner Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Captain/3540463055
I Am the Crown;Netherlands;Black Metal;Split-up;https://www.metal-archives.com/bands/I_Am_the_Crown/3540416063
I Am the Great Rebellion;Sweden;Symphonic Black Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Great_Rebellion/3540495120
I Am the Intimidator;United States;Heavy/Speed Metal/Hard Rock;Active;https://www.metal-archives.com/bands/I_Am_the_Intimidator/3540541139
I Am the Law;United States;Southern Metal/Metalcore;Active;https://www.metal-archives.com/bands/I_Am_the_Law/3540436542
I Am the Liquor;United States;Stoner/Doom/Heavy Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Liquor/3540395371
I Am the Night;Finland;Black Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Night/3540488460
I Am the Pirate;Canada;Death Metal;Split-up;https://www.metal-archives.com/bands/I_Am_the_Pirate/3540465827
I Am the Void;Germany;Black Metal;Active;https://www.metal-archives.com/bands/I_Am_the_Void/3540466373
I Am Three People;Finland;Progressive Metal/Rock;Unknown;https://www.metal-archives.com/bands/I_Am_Three_People/3540378608
I Am Vengeance;United States;Melodic Death/Thrash Metal;Active;https://www.metal-archives.com/bands/I_Am_Vengeance/3540362022
I Am Your God;Finland;Melodic Death/Power Metal/Metalcore;Active;https://www.metal-archives.com/bands/I_Am_Your_God/3540475664
I Aska och Vred;Sweden;Black Metal;Split-up;https://www.metal-archives.com/bands/I_Aska_och_Vred/3540414169
I Believe;Canada;Post-Black Metal;Active;https://www.metal-archives.com/bands/I_Believe/3540474402
I Believe;Argentina;Deathcore;Active;https://www.metal-archives.com/bands/I_Believe/3540536452
I Bleed Lava;Hungary;Doom/Death Metal;Active;https://www.metal-archives.com/bands/I_Bleed_Lava/3540534677
I Bonesaw;Philippines;Brutal Death Metal;Active;https://www.metal-archives.com/bands/I_Bonesaw/3540472438
I Breathe Spears;United Kingdom;Death Metal/Hardcore;Split-up;https://www.metal-archives.com/bands/I_Breathe_Spears/98651
I Buried the Sky;United States;Metalcore;Active;https://www.metal-archives.com/bands/I_Buried_the_Sky/3540275032
I C No;International;Black Metal;Active;https://www.metal-archives.com/bands/I_C_No/3540533077
I Can Be Free;United Kingdom;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/I_Can_Be_Free/3540491928
I Chaos;Netherlands;Brutal Death Metal;Unknown;https://www.metal-archives.com/bands/I_Chaos/3540328634
I Colori del Buio;Italy;Gothic Metal;Active;https://www.metal-archives.com/bands/I_Colori_del_Buio/3540534597
I Compagni di Baal;Italy;Heavy/Doom/Progressive Metal;Split-up;https://www.metal-archives.com/bands/I_Compagni_di_Baal/3540332733
I Crawled;United Kingdom;Raw Depressive Black/Doom Metal;Active;https://www.metal-archives.com/bands/I_Crawled/3540518696
I Deal Suicide;United States;Technical Death Metal;Active;https://www.metal-archives.com/bands/I_Deal_Suicide/3540411718
I Decay;United States;Melodic Death/Groove Metal;Split-up;https://www.metal-archives.com/bands/I_Decay/3540262404
I Declare War;United States;Deathcore;Active;https://www.metal-archives.com/bands/I_Declare_War/99163
I Decline;United States;"Heavy/Stoner/Doom Metal (early); Heavy Metal/Rock (later)";Active;https://www.metal-archives.com/bands/I_Decline/3540334814
I Despise;United States;Progressive/Power Metal;Unknown;https://www.metal-archives.com/bands/I_Despise/65550
