Name;Country;Genre;Status;URL
K Amon K;France;Black Metal;Active;https://www.metal-archives.com/bands/K_Amon_K/3540498159
K Prouty;United States;Progressive Metal;Active;https://www.metal-archives.com/bands/K_Prouty/3540489528
K-fir;Ecuador;Thrash Metal;Active;https://www.metal-archives.com/bands/K-fir/3540435601
K-Lomny;France;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/K-Lomny/7397
K-Octave;United States;Heavy Metal;On hold;https://www.metal-archives.com/bands/K-Octave/6550
K-ØS;Spain;Thrash Metal;Unknown;https://www.metal-archives.com/bands/K-%C3%98S/4145
K-Tion;Argentina;Thrash/Heavy Metal;Active;https://www.metal-archives.com/bands/K-Tion/3540542966
K-usura;Italy;Progressive/Melodic Death Metal;Active;https://www.metal-archives.com/bands/K-usura/3540512611
K-XX;Spain;Heavy Metal;Changed name;https://www.metal-archives.com/bands/K-XX/3540317241
K.A.;France;"Thrash Metal/Crossover (early); Brutal Death Metal (later)";Active;https://www.metal-archives.com/bands/K.A./23589
K.A.D;Mexico;Thrash/Speed Metal;Active;https://www.metal-archives.com/bands/K.A.D/3540513628
K.A.D.A.L;Indonesia;Stoner/Doom Metal/Rock;Active;https://www.metal-archives.com/bands/K.A.D.A.L/3540482981
K.A.IN;Belarus;Melodic Black/Death Metal;Active;https://www.metal-archives.com/bands/K.A.IN/3540331289
K.A.S.K.;Poland;Deathcore;Active;https://www.metal-archives.com/bands/K.A.S.K./3540333840
K.D.T.;Chile;Thrash Metal;Split-up;https://www.metal-archives.com/bands/K.D.T./3540259856
K.F.R;France;Black Metal/Dark Ambient;Active;https://www.metal-archives.com/bands/K.F.R/3540378332
K.G.B.;Canada;Experimental Thrash Metal;On hold;https://www.metal-archives.com/bands/K.G.B./73053
K.I.N;Australia;Heavy/Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/K.I.N/6883
K.I.P.U.;Finland;Depressive Black Metal;Active;https://www.metal-archives.com/bands/K.I.P.U./3540498061
K.I.R.;Ukraine;Progressive Metal;On hold;https://www.metal-archives.com/bands/K.I.R./3540466043
K.I.S.S.;United States;Black Metal;Active;https://www.metal-archives.com/bands/K.I.S.S./3540534432
K.I.T.;Germany;Heavy Metal/Crossover;Active;https://www.metal-archives.com/bands/K.I.T./3540357760
K.L.L.K.;France;"Black/Doom Metal (early); Atmospheric Black Metal (later)";Active;https://www.metal-archives.com/bands/K.L.L.K./3540344475
K.M.;Russia;Atmospheric Black/Gothic Metal;Active;https://www.metal-archives.com/bands/K.M./3540396007
K.O.C;Germany;Thrash Metal;Active;https://www.metal-archives.com/bands/K.O.C/3540332825
K.O.D.;United States;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/K.O.D./40219
K.S;Sweden;Black Metal;Unknown;https://www.metal-archives.com/bands/K.S/3540414853
K.S.S.K;Brazil;Thrash/Speed/Death Metal/Crossover;Split-up;https://www.metal-archives.com/bands/K.S.S.K/3540506099
K.T.C.M.;United States;"Thrash Metal/Crossover (early); Death/Thrash Metal (later)";Active;https://www.metal-archives.com/bands/K.T.C.M./3540330437
K.T.N.;Thailand;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/K.T.N./3540445144
K.T.S.;Italy;Industrial Death/Doom Metal;Active;https://www.metal-archives.com/bands/K.T.S./3540481719
K.U.D.E.T.A;Indonesia;Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/K.U.D.E.T.A/3540510741
K.Y.M.;United Kingdom;Thrash Metal;Split-up;https://www.metal-archives.com/bands/K.Y.M./3540491885
K'aux;Chile;Progressive Metal;Active;https://www.metal-archives.com/bands/K%27aux/3540408721
