Name;Country;Genre;Status;URL
L Is for Lobster;United Kingdom;Heavy Metal;Active;https://www.metal-archives.com/bands/L_Is_for_Lobster/3540528155
L Sol Tace;United Kingdom;Melodic Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/L_Sol_Tace/3540329906
L-ZA;Japan;Melodic Power/Speed Metal;Split-up;https://www.metal-archives.com/bands/L-ZA/3540481429
L,Dear;Japan;Melodic Power Metal/Rock;Split-up;https://www.metal-archives.com/bands/L%2CDear/3540544384
L.A.;Denmark;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.A./13765
L.A. Hooker;United Kingdom;NWOBHM/Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.A._Hooker/73159
L.A. Kaos;United States;Heavy Metal;Changed name;https://www.metal-archives.com/bands/L.A._Kaos/66806
L.A. Law;United States;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/L.A._Law/3540494600
L.A.C.K.;Italy;Depressive Black Metal;Active;https://www.metal-archives.com/bands/L.A.C.K./3540409852
L.A.R. Mortis;Spain;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.A.R._Mortis/3540529926
L.C.F.;Italy;Black Metal;Split-up;https://www.metal-archives.com/bands/L.C.F./3540309407
L.C.N.;Germany;Metalcore;Unknown;https://www.metal-archives.com/bands/L.C.N./3540484650
L.D.R.;New Zealand;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.D.R./127683
L.E.D.;Japan;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/L.E.D./3540538460
L.E.T.A.L.;Brazil;Thrash/Groove Metal;Active;https://www.metal-archives.com/bands/L.E.T.A.L./3540267180
L.F. Angels;Brazil;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.F._Angels/3540422655
L.I.A.M.;Argentina;Symphonic Metal;Active;https://www.metal-archives.com/bands/L.I.A.M./3540427752
L.I.G.O.;Russia;Death Metal;Split-up;https://www.metal-archives.com/bands/L.I.G.O./29351
L.L.O.G.;Indonesia;Melodic Black/Death Metal;Active;https://www.metal-archives.com/bands/L.L.O.G./3540294464
L.O.B.O;Argentina;Heavy Metal;Active;https://www.metal-archives.com/bands/L.O.B.O/3540480164
L.O.D.;Peru;Death Metal;Active;https://www.metal-archives.com/bands/L.O.D./3540424288
L.O.M.;Chile;Groove Metal;Active;https://www.metal-archives.com/bands/L.O.M./3540519011
L.O.R.E.;United States;Raw Black Metal;Active;https://www.metal-archives.com/bands/L.O.R.E./3540411481
L.O.S.K.A;Japan;Heavy Metal;Active;https://www.metal-archives.com/bands/L.O.S.K.A/3540522556
L.O.S.T.;Romania;Melodic Death Metal;Active;https://www.metal-archives.com/bands/L.O.S.T./32570
L.O.U.D.;United States;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L.O.U.D./3540451101
