Name;Country;Genre;Status;URL
P #9;United States;Groove Metal with Sludge/Southern Metal influences;Unknown;https://www.metal-archives.com/bands/P_%239/47161
P 49;Brazil;Melodic Heavy Metal;Unknown;https://www.metal-archives.com/bands/P_49/41130
P-Troll;France;Heavy Metal/Hard Rock;Unknown;https://www.metal-archives.com/bands/P-Troll/98378
P:407;Belgium;Melodic Doom Metal;Split-up;https://www.metal-archives.com/bands/P%3A407/44809
P:O:B;Norway;Progressive Metal/Rock;Changed name;https://www.metal-archives.com/bands/P%3AO%3AB/105072
P.A.C.TO.;Argentina;Heavy/Groove/Thrash Metal;Active;https://www.metal-archives.com/bands/P.A.C.TO./3540442569
P.A.N.D.E.M.I.A.;Argentina;Heavy/Power Metal;Active;https://www.metal-archives.com/bands/P.A.N.D.E.M.I.A./3540540945
P.A.S.B.M.;Brazil;Raw Black Metal;Active;https://www.metal-archives.com/bands/P.A.S.B.M./3540514858
P.D.I.;Chile;Thrash Metal/Crossover;Unknown;https://www.metal-archives.com/bands/P.D.I./3540449896
P.D.P.;United States;Groove/Thrash Metal/Metalcore;Active;https://www.metal-archives.com/bands/P.D.P./3540301101
P.E.O.R;Argentina;Crossover/Death/Thrash Metal;Active;https://www.metal-archives.com/bands/P.E.O.R/3540434942
P.E.S.T.E.;Mexico;Industrial Black Metal;Active;https://www.metal-archives.com/bands/P.E.S.T.E./3540542150
P.G.S.K.;United States;Death Metal;Active;https://www.metal-archives.com/bands/P.G.S.K./3540412191
P.H.O.B.O.S.;France;Industrial Doom Metal;Active;https://www.metal-archives.com/bands/P.H.O.B.O.S./33473
P.H.T.O;France;Depressive Black Metal/Ambient;Active;https://www.metal-archives.com/bands/P.H.T.O/3540324703
P.I.D.E.;Portugal;Thrash Metal;Unknown;https://www.metal-archives.com/bands/P.I.D.E./3540258506
P.I.L.A.U.;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/P.I.L.A.U./3540509515
P.I.N.K Lüng;United Kingdom;Heavy Metal/Rock;Split-up;https://www.metal-archives.com/bands/P.I.N.K_L%C3%BCng/3540471072
P.I.S.T.;United States;Thrash/Speed Metal/Crossover;Split-up;https://www.metal-archives.com/bands/P.I.S.T./3540309406
P.I.T.T.;South Africa;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/P.I.T.T./298
P.K.I.K.T.;Lithuania;Grindcore;Split-up;https://www.metal-archives.com/bands/P.K.I.K.T./3540310170
P.L.F.;United States;Grindcore;Active;https://www.metal-archives.com/bands/P.L.F./108231
P.O.O.R.;United States;Grindcore;Active;https://www.metal-archives.com/bands/P.O.O.R./3540344277
P.O.S.T.;Russia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/P.O.S.T./3540468234
P.O.W.;United States;Sludge/Doom Metal;Active;https://www.metal-archives.com/bands/P.O.W./3540384580
P.O.W.;United States;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/P.O.W./38298
P.P.P.;Japan;Heavy Metal;Active;https://www.metal-archives.com/bands/P.P.P./79336
P.S.F.;Switzerland;Death/Thrash Metal;Changed name;https://www.metal-archives.com/bands/P.S.F./67746
P.S.N.;Peru;Death/Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/P.S.N./3540469115
P.T. Boat;United States;Heavy/Speed Metal;Split-up;https://www.metal-archives.com/bands/P.T._Boat/3540401753
P.T.E. Order;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/P.T.E._Order/24482
P.T.I.T.B;Germany;Raw Black Metal/Punk;Active;https://www.metal-archives.com/bands/P.T.I.T.B/3540505066
P.T.O.M.A.;Greece;Thrash Metal;Split-up;https://www.metal-archives.com/bands/P.T.O.M.A./3540322522
P.U.L.S.I.O.N;Argentina;Heavy Metal;Active;https://www.metal-archives.com/bands/P.U.L.S.I.O.N/3540448250
P.U.S.;Brazil;Death Metal;Active;https://www.metal-archives.com/bands/P.U.S./12551
P.V.D.;United States;Raw Black Metal;Unknown;https://www.metal-archives.com/bands/P.V.D./115117
P3D1TVM;Venezuela;Slam/Brutal Death Metal/Goregrind;Active;https://www.metal-archives.com/bands/P3D1TVM/3540440782
P53;Sweden;Technical/Progressive Brutal Death Metal;Unknown;https://www.metal-archives.com/bands/P53/3540518455
Pa Vesh En;Belarus;Raw Black Metal;Active;https://www.metal-archives.com/bands/Pa_Vesh_En/3540435091
Pa.T.H.;Greece;Atmospheric Death Metal;Split-up;https://www.metal-archives.com/bands/Pa.T.H./76064
Pa' Tras;Mexico;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Pa%27_Tras/3540372434
Paagtheaan;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/Paagtheaan/3540423857
PaalThal Anunnaki;Mexico;Technical/Progressive Death Metal;On hold;https://www.metal-archives.com/bands/PaalThal_Anunnaki/3540370454
Paara;Finland;Black Metal;Active;https://www.metal-archives.com/bands/Paara/3540397373
Paarthurnax;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/Paarthurnax/3540462625
Pabllo Vittar with Guns;Brazil;Black/Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Pabllo_Vittar_with_Guns/3540527121
Pablo Cruz Negra;Costa Rica;Heavy Metal;Active;https://www.metal-archives.com/bands/Pablo_Cruz_Negra/3540537763
Pablo G. Soler;Argentina;Neoclassical Metal/Shred;Active;https://www.metal-archives.com/bands/Pablo_G._Soler/27221
Pablo Lavoé;United States;Stoner Metal;Active;https://www.metal-archives.com/bands/Pablo_Lavo%C3%A9/3540413992
Pablo Mendoza;Spain;Neoclassical Metal/Hard Rock, Shred;Active;https://www.metal-archives.com/bands/Pablo_Mendoza/83573
Pacal;Mexico;Death Metal;Active;https://www.metal-archives.com/bands/Pacal/30060
Pace of Hearse;Germany;Speed/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Pace_of_Hearse/61257
Pacemaker;France;Speed/Heavy Metal;Split-up;https://www.metal-archives.com/bands/Pacemaker/84672
Pačess;Czechia;Epic Black Metal;Active;https://www.metal-archives.com/bands/Pa%C4%8Dess/3540327845
Pacha Metal;Argentina;Thrash Metal;Active;https://www.metal-archives.com/bands/Pacha_Metal/3540483062
Pachakamac;Ecuador;Black Metal;Active;https://www.metal-archives.com/bands/Pachakamac/3540407629
Pachamama;Spain;Death Metal/Grindcore;Unknown;https://www.metal-archives.com/bands/Pachamama/3540288025
Pachamama;Argentina;Heavy/Speed Metal;Active;https://www.metal-archives.com/bands/Pachamama/3540273209
Pachiderma;Italy;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Pachiderma/3540538501
Pacho Brea;Spain;Melodic Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Pacho_Brea/3540386566
Pachydermo Scato;Spain;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Pachydermo_Scato/3540500588
Pacific Rage;Denmark;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Pacific_Rage/3540537811
Pacifism Kills;France;Black Metal;Split-up;https://www.metal-archives.com/bands/Pacifism_Kills/101923
Pack of Wolves;United States;Groove Metal;Split-up;https://www.metal-archives.com/bands/Pack_of_Wolves/3540276207
Package;United States;Thrash/Death Metal;Unknown;https://www.metal-archives.com/bands/Package/58109
Paco Ventura Black Moon;Spain;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Paco_Ventura_Black_Moon/3540453087
Pact;United States;Black Metal;Active;https://www.metal-archives.com/bands/Pact/3540340917
Pact of Darkness;International;Raw Black Metal;Active;https://www.metal-archives.com/bands/Pact_of_Darkness/3540545563
Pact of Solitude;Spain;Black/Doom Metal;Split-up;https://www.metal-archives.com/bands/Pact_of_Solitude/80089
Pacta Corvina;Brazil;Blackened Death Metal;Active;https://www.metal-archives.com/bands/Pacta_Corvina/3540517748
Pacta Demonearoum;Mexico;Black Metal;Unknown;https://www.metal-archives.com/bands/Pacta_Demonearoum/53671
Pacte de Mort;France;Black Metal;Active;https://www.metal-archives.com/bands/Pacte_de_Mort/3540376675
Pacto;Colombia;Epic Black Metal;Active;https://www.metal-archives.com/bands/Pacto/3540381996
Pacto;Bolivia;Heavy Metal;Active;https://www.metal-archives.com/bands/Pacto/3540539746
Pacto Amen;Chile;Black/Death Metal;Active;https://www.metal-archives.com/bands/Pacto_Amen/3540479303
Pacto de Mutilación;Ecuador;Black Metal;Active;https://www.metal-archives.com/bands/Pacto_de_Mutilaci%C3%B3n/3540470776
Pacto de Sangre;Puerto Rico;Power Metal;Active;https://www.metal-archives.com/bands/Pacto_de_Sangre/12218
Pacto de Sangue;Brazil;Thrash Metal;Active;https://www.metal-archives.com/bands/Pacto_de_Sangue/103371
Pacto Impío;Chile;Black Metal;Active;https://www.metal-archives.com/bands/Pacto_Imp%C3%ADo/3540478902
Pacto Perpetuo;Argentina;Progressive Heavy/Power Metal;Active;https://www.metal-archives.com/bands/Pacto_Perpetuo/3540444810
Pacto Selvagem;Brazil;Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/Pacto_Selvagem/3540543790
Pacto Sublime;Colombia;Melodic Power Metal;Unknown;https://www.metal-archives.com/bands/Pacto_Sublime/60968
Pactsworn;United Kingdom;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Pactsworn/3540527786
Pactum;Mexico;Black/Thrash Metal;Active;https://www.metal-archives.com/bands/Pactum/38552
Pactum;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/Pactum/10949
Pactum Ocultum;Bolivia;Black Metal;Active;https://www.metal-archives.com/bands/Pactum_Ocultum/3540507979
Pactum Paganus;Colombia;Black Metal;Unknown;https://www.metal-archives.com/bands/Pactum_Paganus/3540486756
Pad of Pain;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Pad_of_Pain/98733
Padagra;Russia;Goregrind;Active;https://www.metal-archives.com/bands/Padagra/3540524967
Paddok;Uruguay;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Paddok/3540260724
Padieland;Argentina;Epic Power Metal;Split-up;https://www.metal-archives.com/bands/Padieland/2965
Padlí Andělé;Czechia;Heavy Metal;Active;https://www.metal-archives.com/bands/Padl%C3%AD_And%C4%9Bl%C3%A9/3540449927
