Name;Country;Genre;Status;URL
S-Core;France;Thrash Metal/Metalcore;Active;https://www.metal-archives.com/bands/S-Core/39475
S-Tool;Finland;Groove Metal;Split-up;https://www.metal-archives.com/bands/S-Tool/3540431734
S-X;Serbia;Melodic Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/S-X/3540451966
S:S:S;Germany;Black Metal;Active;https://www.metal-archives.com/bands/S%3AS%3AS/3540368397
S:t Erik;Sweden;Psychedelic Stoner/Doom Metal;On hold;https://www.metal-archives.com/bands/S%3At_Erik/93938
S.A.;Cuba;Heavy Metal;Split-up;https://www.metal-archives.com/bands/S.A./3540517976
S.A. Adams;United States;Heavy/Power/Thrash Metal;Active;https://www.metal-archives.com/bands/S.A._Adams/56133
S.A. Slayer;United States;Heavy/Power Metal;Active;https://www.metal-archives.com/bands/S.A._Slayer/110
S.A.D;Colombia;Depressive Black Metal;Changed name;https://www.metal-archives.com/bands/S.A.D/3540448604
S.A.D.;Ecuador;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/S.A.D./3540524570
S.A.D.;Portugal;Death Metal;Split-up;https://www.metal-archives.com/bands/S.A.D./80240
S.A.D.O.;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/S.A.D.O./11007
S.A.R.;Brazil;Black Metal with RAC influences;Split-up;https://www.metal-archives.com/bands/S.A.R./20519
S.A.R.G.;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/S.A.R.G./3540462315
S.A.S.;Australia;Heavy Metal;Split-up;https://www.metal-archives.com/bands/S.A.S./5883
S.A.T.A.N.;Poland;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/S.A.T.A.N./3540302032
S.B.I.;United States;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/S.B.I./3540288649
S.C.A.L.P.;Russia;Doom/Death/Gothic Metal;Active;https://www.metal-archives.com/bands/S.C.A.L.P./11276
S.C.A.R.;France;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/S.C.A.R./3540344350
S.C.A.R.D.;Russia;Melodic Black Metal;Active;https://www.metal-archives.com/bands/S.C.A.R.D./85698
S.C.A.R.P.S.;Brazil;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.C.A.R.P.S./24581
S.C.A.T.;Russia;Brutal Death Metal/Goregrind;Active;https://www.metal-archives.com/bands/S.C.A.T./3540414240
S.C.E.P.T.R.E.;Finland;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.C.E.P.T.R.E./48815
S.C.U.M.;Czechia;Black Metal;Split-up;https://www.metal-archives.com/bands/S.C.U.M./58415
S.D Nox;Colombia;Black Metal;Active;https://www.metal-archives.com/bands/S.D_Nox/3540504132
S.D.I.;Germany;Speed/Thrash Metal;Active;https://www.metal-archives.com/bands/S.D.I./2656
S.D.I.;Japan;Melodic Power/Speed Metal;Split-up;https://www.metal-archives.com/bands/S.D.I./3540501925
S.D.I.D.;Denmark;Avant-garde Death Metal;Split-up;https://www.metal-archives.com/bands/S.D.I.D./43699
S.D.M.;Mexico;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.D.M./106476
S.D.N.;Chile;Grindcore/Death Metal;Active;https://www.metal-archives.com/bands/S.D.N./3540316779
S.D.R.;United Kingdom;Progressive/Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/S.D.R./3540289954
S.D.S.;Finland;Speed Metal;Changed name;https://www.metal-archives.com/bands/S.D.S./115135
S.E.D.;Germany;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.E.D./3540344302
S.E.T.;Italy;Thrash Metal;Unknown;https://www.metal-archives.com/bands/S.E.T./3540328018
S.F.H.;Canada;Heavy Metal;Active;https://www.metal-archives.com/bands/S.F.H./20555
S.F.U.;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.F.U./3540321592
S.G.R.;Sweden;Death Metal, Crust Punk;Split-up;https://www.metal-archives.com/bands/S.G.R./36784
S.H.A.D.E.;Italy;Heavy Metal;Split-up;https://www.metal-archives.com/bands/S.H.A.D.E./112804
S.H.I.T.;Belgium;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/S.H.I.T./111529
S.H.I.V.;United States;Death Metal/Hardcore;Active;https://www.metal-archives.com/bands/S.H.I.V./3540527389
S.I.;Estonia;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S.I./3540537534
S.I.C.;Australia;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S.I.C./3540255504
S.I.D.;Italy;Death/Doom Metal;Active;https://www.metal-archives.com/bands/S.I.D./3540461624
S.I.D.E.;Russia;Heavy/Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.I.D.E./34020
S.I.D.S.;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/S.I.D.S./3540299133
S.I.K;Azerbaijan;Sludge/Doom Metal;Unknown;https://www.metal-archives.com/bands/S.I.K/3540462887
S.I.K.;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.I.K./3540280438
S.I.L.U.R.;Ukraine;Melodic Death/Black Metal;Active;https://www.metal-archives.com/bands/S.I.L.U.R./96818
S.I.M.B.;Netherlands;Stoner Metal/Rock;Split-up;https://www.metal-archives.com/bands/S.I.M.B./3540361645
S.I.N.;Germany;Melodic Progressive Metal;Active;https://www.metal-archives.com/bands/S.I.N./112082
S.I.N. for S.I.N.;United States;Thrash/Heavy Metal;Split-up;https://www.metal-archives.com/bands/S.I.N._for_S.I.N./3540525513
S.I.R.;Russia;Grindcore;Split-up;https://www.metal-archives.com/bands/S.I.R./3540429817
S.I.S.T.;United Kingdom;Black Metal;Unknown;https://www.metal-archives.com/bands/S.I.S.T./16249
S.I.T.E.;Italy;Gothic/Heavy Metal;Changed name;https://www.metal-archives.com/bands/S.I.T.E./50651
S.K.N.S.;Canada;Thrash Metal;Unknown;https://www.metal-archives.com/bands/S.K.N.S./58871
S.K.U.R.K.;Sweden;Heavy Metal;On hold;https://www.metal-archives.com/bands/S.K.U.R.K./127291
S.L.A.M.;Mexico;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/S.L.A.M./3540471221
S.L.G.;Malaysia;Melodic Death/Black Metal;Unknown;https://www.metal-archives.com/bands/S.L.G./53993
S.L.O.D.;Slovenia;Death Metal;Split-up;https://www.metal-archives.com/bands/S.L.O.D./100201
S.L.R.;Sweden;"Death Metal (early); Power/Thrash Metal (later)";Split-up;https://www.metal-archives.com/bands/S.L.R./37855
S.L.U.G.;United States;Sludge Metal;Unknown;https://www.metal-archives.com/bands/S.L.U.G./3540509376
S.L.U.G.S.;Italy;Thrash Metal;Active;https://www.metal-archives.com/bands/S.L.U.G.S./57046
S.L.U.R;Japan;Melodic Heavy/Power Metal;On hold;https://www.metal-archives.com/bands/S.L.U.R/3540342709
S.L.U.T.;Germany;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/S.L.U.T./84908
S.M.A.C.K.;Brazil;Heavy/Doom Metal;Active;https://www.metal-archives.com/bands/S.M.A.C.K./3540274865
S.M.D.;United States;Thrash Metal/Crossover/Punk;Active;https://www.metal-archives.com/bands/S.M.D./96416
S.M.F.;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/S.M.F./3540530388
S.M.F.;France;Speed Metal;Split-up;https://www.metal-archives.com/bands/S.M.F./105965
S.M.I.;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/S.M.I./74862
S.N.F.;Chile;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.N.F./30908
S.N.O;United Kingdom;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/S.N.O/3540474487
S.N.O.T.;Hungary;Industrial Metal;Active;https://www.metal-archives.com/bands/S.N.O.T./55428
S.N.P.;Italy;"Thrash Metal (early); Metalcore (later)";Active;https://www.metal-archives.com/bands/S.N.P./35528
S.O:M.A;Brazil;Death Metal;Split-up;https://www.metal-archives.com/bands/S.O%3AM.A/3540359127
S.O.B;Japan;Grindcore/Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S.O.B/6214
S.O.B.;United States;Power/Thrash Metal;Unknown;https://www.metal-archives.com/bands/S.O.B./104538
S.O.C.M.D.;Czechia;Black/Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/S.O.C.M.D./73801
S.O.D.;United States;Thrash Metal/Crossover/Hardcore Punk;Split-up;https://www.metal-archives.com/bands/S.O.D./190
S.O.D.D.;United States;Black Metal;On hold;https://www.metal-archives.com/bands/S.O.D.D./3540303228
S.O.H.;International;Thrash Metal;Active;https://www.metal-archives.com/bands/S.O.H./6194
S.O.I.F.;Canada;Crossover/Thrash Metal;Active;https://www.metal-archives.com/bands/S.O.I.F./3540523226
S.O.K.;Spain;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/S.O.K./53849
Š.O.K.;Czechia;Black Metal/Crossover/Hardcore Punk;Split-up;https://www.metal-archives.com/bands/%C5%A0.O.K./3540451764
S.O.L;Poland;Thrash Metal/Hardcore/RAC;Split-up;https://www.metal-archives.com/bands/S.O.L/3540531588
S.O.L.;Japan;Thrash/Heavy Metal, Hard Rock;Active;https://www.metal-archives.com/bands/S.O.L./3540257050
S.o.M.;Croatia;Folk/Doom Metal;Split-up;https://www.metal-archives.com/bands/S.o.M./123106
S.O.P.R.O.;Brazil;Groove Metal;Split-up;https://www.metal-archives.com/bands/S.O.P.R.O./120977
S.O.S!;Poland;Thrash Metal/Hardcore;Split-up;https://www.metal-archives.com/bands/S.O.S%21/106195
S.O.S.;Hungary;Thrash/Power Metal;Split-up;https://www.metal-archives.com/bands/S.O.S./46876
S.O.S.;Thailand;Speed Metal;Split-up;https://www.metal-archives.com/bands/S.O.S./127303
