Name;Country;Genre;Status;URL
T H I N K;France;Groove Metal/Hardcore;Active;https://www.metal-archives.com/bands/T_H_I_N_K/3540417443
T Treinta y Cuatro;Spain;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/T_Treinta_y_Cuatro/3540517119
T-Bone;Germany;Melodic Heavy Metal;Unknown;https://www.metal-archives.com/bands/T-Bone/107220
T-Machines;Colombia;Thrash/Death Metal;Active;https://www.metal-archives.com/bands/T-Machines/3540373471
T-Mule;Italy;Thrash/Death Metal;Unknown;https://www.metal-archives.com/bands/T-Mule/3540269830
T-Rex Autopsy;Australia;Progressive Metal;Active;https://www.metal-archives.com/bands/T-Rex_Autopsy/3540503562
T.2.B.;Switzerland;Melodic Death Metal;Active;https://www.metal-archives.com/bands/T.2.B./3540548800
T.A.N.K;France;Melodic Death/Groove Metal;On hold;https://www.metal-archives.com/bands/T.A.N.K/108697
T.A.O.;Poland;Progressive Metal;Split-up;https://www.metal-archives.com/bands/T.A.O./82299
T.A.R;Sweden;Progressive Power/Thrash Metal;Split-up;https://www.metal-archives.com/bands/T.A.R/10611
T.A.Z.;Poland;Thrash Metal;Active;https://www.metal-archives.com/bands/T.A.Z./129754
T.B. Eighteen;Russia;Thrash Metal/RAC;Unknown;https://www.metal-archives.com/bands/T.B._Eighteen/3540466482
T.C.F.;Netherlands;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/T.C.F./3540294791
T.d.S;Argentina;Thrash Metal;Active;https://www.metal-archives.com/bands/T.d.S/3540282325
T.D.S.;Spain;Raw Black Metal with Hardcore Punk influences;Active;https://www.metal-archives.com/bands/T.D.S./3540501420
T.F.N.;United States;Crossover/Thrash Metal;Split-up;https://www.metal-archives.com/bands/T.F.N./3540329083
T.H.A.L.;United States;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/T.H.A.L./3540425828
T.H.C;Argentina;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/T.H.C/3540423785
T.H.C.;United States;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/T.H.C./3540526212
T.H.E.M.;United States;Symphonic Black Metal;Active;https://www.metal-archives.com/bands/T.H.E.M./3540381109
T.H.G.;Japan;Thrash/Death Metal;Unknown;https://www.metal-archives.com/bands/T.H.G./67995
T.H.I.R.S.T.;Thailand;Post-Metal;Active;https://www.metal-archives.com/bands/T.H.I.R.S.T./3540540816
T.H.O.R.;Germany;Pagan/Black/Heavy Metal/RAC;Split-up;https://www.metal-archives.com/bands/T.H.O.R./3540388280
T.H.R.O.N.;Russia;"Black Metal (early); Grindcore (later)";Split-up;https://www.metal-archives.com/bands/T.H.R.O.N./8891
T.H.Y.M. of Loss;Greece;Symphonic Gothic/Death Metal;Changed name;https://www.metal-archives.com/bands/T.H.Y.M._of_Loss/123962
T.I.T.;Finland;Thrash Metal;Active;https://www.metal-archives.com/bands/T.I.T./79824
T.I.T.;Brazil;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/T.I.T./3540267241
T.M.A.;Czechia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/T.M.A./48135
T.M.K.;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/T.M.K./83036
T.N.S.;Czechia;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/T.N.S./3540268290
T.N.T.;Germany;Heavy Metal;Changed name;https://www.metal-archives.com/bands/T.N.T./3540472730
T.N.T.;Japan;Heavy Metal;Changed name;https://www.metal-archives.com/bands/T.N.T./3540497306
T.N.T.;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/T.N.T./29112
T.O.A.D.;International;Grindcore;Active;https://www.metal-archives.com/bands/T.O.A.D./3540479778
T.O.D.;Germany;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/T.O.D./119271
T.O.M.B.;United States;Industrial/Noise/Black Metal;Active;https://www.metal-archives.com/bands/T.O.M.B./3540462997
T.O.M.E.;Finland;Black Metal;Active;https://www.metal-archives.com/bands/T.O.M.E./3540285593
T.O.R.N.;Denmark;Groove Metal;Split-up;https://www.metal-archives.com/bands/T.O.R.N./3540332417
T.O.R.N.A.P.A.R.T.;Ukraine;Thrash/Death Metal, Experimental Metal;Active;https://www.metal-archives.com/bands/T.O.R.N.A.P.A.R.T./3540423682
T.O.S.T War;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/T.O.S.T_War/3540362253
T.O.T.;Poland;Industrial Death Metal;Split-up;https://www.metal-archives.com/bands/T.O.T./3540275803
T.P.O.L.D.;Russia;Death Metal;Split-up;https://www.metal-archives.com/bands/T.P.O.L.D./3540281164
T.R.A.D.;Norway;Doom/Post-Metal;Active;https://www.metal-archives.com/bands/T.R.A.D./3540537462
T.R.E.W.A.;Mexico;Groove Metal;Split-up;https://www.metal-archives.com/bands/T.R.E.W.A./3540353771
T.R.N.;Costa Rica;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/T.R.N./3540518915
T.R.U.S.T;Mexico;Thrash Metal;Active;https://www.metal-archives.com/bands/T.R.U.S.T/3540386445
T.U.R.I.E.L.;Honduras;Symphonic Gothic/Doom Metal;Active;https://www.metal-archives.com/bands/T.U.R.I.E.L./3540430549
T.U.S.H.;United States;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/T.U.S.H./3540360499
T.V.P.;United Kingdom;Grindcore;Split-up;https://www.metal-archives.com/bands/T.V.P./3540285912
T.W.A.T;United Kingdom;Grindcore/Hardcore/Sludge Metal;Active;https://www.metal-archives.com/bands/T.W.A.T/3540477226
T'vhu;Spain;Metalcore;Split-up;https://www.metal-archives.com/bands/T%27vhu/3540409179
T&N;United States;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/T%26N/3540378653
T3chn0ph0b1a;Italy;Blackened Electronic/Industrial Metal;Split-up;https://www.metal-archives.com/bands/T3chn0ph0b1a/39754
T3h Shred Boiz;United States;Experimental Technical Death Metal;Split-up;https://www.metal-archives.com/bands/T3h_Shred_Boiz/3540257399
T4NxMx;Russia;Post-Metal/Rock;Active;https://www.metal-archives.com/bands/T4NxMx/3540460419
T55;Finland;Stoner Metal;Active;https://www.metal-archives.com/bands/T55/38602
T666;Australia;Brutal Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/T666/3605
T8M8R;Russia;Black/Heavy Metal/RAC;Changed name;https://www.metal-archives.com/bands/T8M8R/3540492055
Ta'mõi Grisi;Brazil;Experimental Black Metal;Active;https://www.metal-archives.com/bands/Ta%27m%C3%B5i_Grisi/3540512850
Taagefanger;Denmark;Sludge Metal;Active;https://www.metal-archives.com/bands/Taagefanger/3540502479
Taak;Estonia;Doom Metal;Active;https://www.metal-archives.com/bands/Taak/62722
Taak;United Kingdom;Black Metal;Active;https://www.metal-archives.com/bands/Taak/3540456813
Taake;Norway;Black Metal;Active;https://www.metal-archives.com/bands/Taake/370
Taakeferd;Norway;Black Metal;Active;https://www.metal-archives.com/bands/Taakeferd/14001
Taakeheimen;Norway;Black Metal;Split-up;https://www.metal-archives.com/bands/Taakeheimen/25421
Taaken;Germany;Black Metal;Active;https://www.metal-archives.com/bands/Taaken/3540490616
Taakka;Finland;Black Metal;Active;https://www.metal-archives.com/bands/Taakka/3540474865
Taamsik;India;Thrash/Black Metal;Split-up;https://www.metal-archives.com/bands/Taamsik/3540345282
Taarenes Vaar;Norway;Black Metal;Changed name;https://www.metal-archives.com/bands/Taarenes_Vaar/91005
Taarkus;United States;Doom Metal/Hard/Progressive Rock;Active;https://www.metal-archives.com/bands/Taarkus/3540406799
Taarma;Pakistan;Black Metal;Active;https://www.metal-archives.com/bands/Taarma/58400
Taarna;United States;Black Metal/Ambient;Active;https://www.metal-archives.com/bands/Taarna/3540434453
Taatsi;Finland;Atmospheric Black Metal;Split-up;https://www.metal-archives.com/bands/Taatsi/3540381105
Tabahi;Pakistan;Thrash Metal;Active;https://www.metal-archives.com/bands/Tabahi/3540378348
Tábano;Argentina;Thrash/Doom Metal;Split-up;https://www.metal-archives.com/bands/T%C3%A1bano/3540406830
Tabat Derjech;United States;Raw Black Metal/Punk;Unknown;https://www.metal-archives.com/bands/Tabat_Derjech/3540531781
Tabbac Quebecois;Canada;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Tabbac_Quebecois/3540321391
Tabbasa;Japan;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Tabbasa/89004
Taberah;Chile;Heavy Metal;Active;https://www.metal-archives.com/bands/Taberah/3540480546
Taberah;Australia;Power/Heavy Metal;Split-up;https://www.metal-archives.com/bands/Taberah/83941
Tabernacle;United Arab Emirates;Epic Heavy Metal;Active;https://www.metal-archives.com/bands/Tabernacle/3540488566
Tabernaculo;Mexico;Death Metal;Split-up;https://www.metal-archives.com/bands/Tabernaculo/3540295623
Tabernakel;Austria;Sludge/Drone/Doom Metal;Active;https://www.metal-archives.com/bands/Tabernakel/3540530573
Tabernarios;Chile;Heavy Metal/Hard Rock/Southern Rock;Active;https://www.metal-archives.com/bands/Tabernarios/107177
Tabes;France;Death Metal;Split-up;https://www.metal-archives.com/bands/Tabes/81317
Tabestic Enteron;Latvia;Progressive/Technical Death Metal;Split-up;https://www.metal-archives.com/bands/Tabestic_Enteron/3540534271
Tabiant;Italy;Power Metal;Split-up;https://www.metal-archives.com/bands/Tabiant/3540302654
Tableau Mort;United Kingdom;Black Metal;Split-up;https://www.metal-archives.com/bands/Tableau_Mort/3540454956
