Name;Country;Genre;Status;URL
The Year of Our Lord;United States;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/The_Year_of_Our_Lord/1279
The YTriple Corporation;Spain;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/The_YTriple_Corporation/3540338315
Y;Paraguay;Black Metal;Active;https://www.metal-archives.com/bands/Y/3540514310
Y | I | Y;Germany;Progressive/Post-Black Metal;Active;https://www.metal-archives.com/bands/Y_%7C_I_%7C_Y/3540451530
Y Diawled;United Kingdom;NWOBHM/Heavy Metal;Split-up;https://www.metal-archives.com/bands/Y_Diawled/28137
Y Not;Germany;Heavy Metal/Hard/Alternative Rock;Unknown;https://www.metal-archives.com/bands/Y_Not/3540508981
Y-Incision;United States;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/Y-Incision/3540408580
Y-xiz;Japan;Melodic Power Metal/Rock;Active;https://www.metal-archives.com/bands/Y-xiz/3540544452
Y.O.C.;Türkiye;Heavy Metal;Active;https://www.metal-archives.com/bands/Y.O.C./45765
Y'Golonac;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/Y%27Golonac/3540291175
Y'ha-nthlei;Italy;Funeral Doom Metal;Unknown;https://www.metal-archives.com/bands/Y%27ha-nthlei/3540356866
Y'ha-Nthlei;Russia;Experimental/Raw Black Metal;Active;https://www.metal-archives.com/bands/Y%27ha-Nthlei/3540459572
Y3K;Spain;Symphonic Black Metal;Changed name;https://www.metal-archives.com/bands/Y3K/73297
Yaaroth;United States;Doom Metal/Progressive Rock;Active;https://www.metal-archives.com/bands/Yaaroth/3540401806
Yâb;France;Industrial Black Metal;Split-up;https://www.metal-archives.com/bands/Y%C3%A2b/3540390033
Yabaokaya;Japan;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Yabaokaya/3540464832
Yabgu;Türkiye;Folk Metal;Active;https://www.metal-archives.com/bands/Yabgu/3540352310
Yaed;United States;Drone/Funeral Doom Metal;Active;https://www.metal-archives.com/bands/Yaed/3540485956
Yafal Power Trio;Argentina;Heavy Metal;Active;https://www.metal-archives.com/bands/Yafal_Power_Trio/3540411136
Yafkan;Chile;Doom/Death Metal;Active;https://www.metal-archives.com/bands/Yafkan/3540477981
Yag-Kosha;Germany;Black Metal;Active;https://www.metal-archives.com/bands/Yag-Kosha/3540429953
Yagami;Canada;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Yagami/3540477653
Yagan;Myanmar;Black Metal;Active;https://www.metal-archives.com/bands/Yagan/3540429355
Yagas;Argentina;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Yagas/110315
Yaggernath;Argentina;Death Metal/Hardcore;Active;https://www.metal-archives.com/bands/Yaggernath/3540491054
Yagon;Israel;Black/Doom Metal;Active;https://www.metal-archives.com/bands/Yagon/3540514561
Yaguar;Venezuela;Heavy Metal;Unknown;https://www.metal-archives.com/bands/Yaguar/9206
Yaguarí;Argentina;Doom/Stoner Metal/Psychedelic Rock;Unknown;https://www.metal-archives.com/bands/Yaguar%C3%AD/3540446458
Yahar'gul;United States;Black Metal;Active;https://www.metal-archives.com/bands/Yahar%27gul/3540430064
Yahweh;Mexico;Raw Black Metal;Active;https://www.metal-archives.com/bands/Yahweh/3540503639
Yahwist;Russia;Raw Black Metal/Punk;Active;https://www.metal-archives.com/bands/Yahwist/3540481537
Yajaira;Chile;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Yajaira/106752
Yajtay;Argentina;Black Metal;Active;https://www.metal-archives.com/bands/Yajtay/3540537119
Yakamashii;Singapore;Heavy/Power Metal;Active;https://www.metal-archives.com/bands/Yakamashii/33658
Yakatarma;Mexico;Melodic Death Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/Yakatarma/46561
Yakblood;France;Blackened Doom Metal;Active;https://www.metal-archives.com/bands/Yakblood/3540423221
Yakisoba;Italy;Goregrind;Active;https://www.metal-archives.com/bands/Yakisoba/3540469277
Yakut;Russia;Avant-garde Black Metal/Post-Rock;Active;https://www.metal-archives.com/bands/Yakut/3540351718
Yakutia;Canada;Atmospheric/Post-Black Metal/Shoegaze;Active;https://www.metal-archives.com/bands/Yakutia/3540504787
Yakuza;United States;"Avant-garde/Post-Hardcore (early); Sludge/Post-Metal (later)";Active;https://www.metal-archives.com/bands/Yakuza/3540525587
Yaldabaoth;United States;Black Metal;Active;https://www.metal-archives.com/bands/Yaldabaoth/3540434191
Yaldabaoth;Italy;Death Metal;Active;https://www.metal-archives.com/bands/Yaldabaoth/3540488987
Yaldabaoth;United States;Black Metal;Active;https://www.metal-archives.com/bands/Yaldabaoth/3540513320
Yaldabaoth;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/Yaldabaoth/3540436650
Yama;Netherlands;Psychedelic Doom/Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Yama/3540332752
Yama-Uba;United States;Sludge Metal;Active;https://www.metal-archives.com/bands/Yama-Uba/3540501606
Yamagen's Devileliet;Japan;Progressive/Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/Yamagen%27s_Devileliet/3540307789
Yamakunt;United Kingdom;Sludge Metal;Active;https://www.metal-archives.com/bands/Yamakunt/3540395358
Yamaraja;Russia;Death Metal;Split-up;https://www.metal-archives.com/bands/Yamaraja/57098
Yamarash;Spain;Thrash/Groove Metal;Unknown;https://www.metal-archives.com/bands/Yamarash/3540540962
Yamato;Japan;Heavy Metal;Unknown;https://www.metal-archives.com/bands/Yamato/3540321017
Yamatu;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/Yamatu/5206
Yana;Brazil;Black/Death Metal;Active;https://www.metal-archives.com/bands/Yana/3540506036
Yana Raymi;Peru;Folk Metal;Active;https://www.metal-archives.com/bands/Yana_Raymi/61556
Yana Supay;Peru;Ambient/Black Metal;Unknown;https://www.metal-archives.com/bands/Yana_Supay/3540345489
