Name;Country;Genre;Status;URL
The Zen;Spain;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/The_Zen/3540357673
The Zenith Passage;United States;Technical Death Metal;Active;https://www.metal-archives.com/bands/The_Zenith_Passage/3540346785
The Zephyr;Mexico;Melodic Death/Black Metal;Active;https://www.metal-archives.com/bands/The_Zephyr/20525
The Zeronaut;Spain;Melodic Death Metal;Active;https://www.metal-archives.com/bands/The_Zeronaut/70025
The Ziggurat;United States;Death/Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/The_Ziggurat/31537
The Zimmermann Note;United States;Metalcore/Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/The_Zimmermann_Note/25915
The Zodiac;Canada;Thrash Metal with Crossover elements;Split-up;https://www.metal-archives.com/bands/The_Zodiac/3540487531
The Zombi;Finland;Death Metal;Split-up;https://www.metal-archives.com/bands/The_Zombi/96263
The Zone of Noise;Poland;Grindcore/Death Metal/Noise;Split-up;https://www.metal-archives.com/bands/The_Zone_of_Noise/3540337709
Z;Mexico;Heavy Metal;Active;https://www.metal-archives.com/bands/Z/68716
Z;United States;Progressive Death Metal;Split-up;https://www.metal-archives.com/bands/Z/33459
Z;United States;Melodic Heavy Metal;Split-up;https://www.metal-archives.com/bands/Z/3325
Z I Z;Indonesia;Black/Death Metal;Active;https://www.metal-archives.com/bands/Z_I_Z/3540470710
Z Legacy;Spain;Power Metal;Active;https://www.metal-archives.com/bands/Z_Legacy/3540533360
Z-Axis;United States;Heavy Metal/Hard Rock;Unknown;https://www.metal-archives.com/bands/Z-Axis/3540394969
Z-End;Japan;Power/Melodic Death Metal;Active;https://www.metal-archives.com/bands/Z-End/3540451113
Z-Gen;France;Black/Doom Metal;Split-up;https://www.metal-archives.com/bands/Z-Gen/27610
Z-Iron;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Z-Iron/33151
Z-Lot-Z;United States;Progressive Heavy Metal;Split-up;https://www.metal-archives.com/bands/Z-Lot-Z/4923
Z-Sect;Japan;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Z-Sect/62471
Z:Blaze;Japan;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Z%3ABlaze/3540256429
Z:Slaughter;Japan;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Z%3ASlaughter/3540510185
Z.A.A.R.;Venezuela;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Z.A.A.R./3540295319
Z.O.N.E.;United States;Thrash Metal/Hardcore;Active;https://www.metal-archives.com/bands/Z.O.N.E./3540539527
Z'Kazan;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Z%27Kazan/51825
z3r0c00l;United States;Industrial Death Metal;Unknown;https://www.metal-archives.com/bands/z3r0c00l/100863
Zā Lä Thü;United States;Industrial/Death Metal;Active;https://www.metal-archives.com/bands/Z%C4%81_L%C3%A4_Th%C3%BC/3540369238
Za Piratz;France;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Za_Piratz/3540298648
Zaar;Iran;Death/Black Metal;Active;https://www.metal-archives.com/bands/Zaar/3540464008
Zaas;Spain;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Zaas/3540441914
Zabaniah;Indonesia;Black Metal;Active;https://www.metal-archives.com/bands/Zabaniah/3540388772
Zabaniyah;Indonesia;Black Metal;Active;https://www.metal-archives.com/bands/Zabaniyah/3540294479
Zabbeth;Malta;Black/Thrash Metal;Active;https://www.metal-archives.com/bands/Zabbeth/3540506667
Zabiis;United Kingdom;Epic/Atmospheric Doom/Black Metal;Split-up;https://www.metal-archives.com/bands/Zabiis/32097
Zabulon;Colombia;Black Metal;Unknown;https://www.metal-archives.com/bands/Zabulon/3540386465
