Name;Country;Genre;Status;URL
C Average;United States;Heavy/Doom Metal;Active;https://www.metal-archives.com/bands/C_Average/21121
C-187;Netherlands;Groove Metal;Split-up;https://www.metal-archives.com/bands/C-187/103671
C-300;Russia;Melodic Death/Thrash Metal;Active;https://www.metal-archives.com/bands/C-300/3540318197
C-4;Poland;Grindcore/Death 'n' Roll;Active;https://www.metal-archives.com/bands/C-4/3540379105
C-Fiction;Germany;Progressive/Thrash Metal;Unknown;https://www.metal-archives.com/bands/C-Fiction/113267
C-Force;Finland;Power Metal;Unknown;https://www.metal-archives.com/bands/C-Force/3540448002
C-Nuke;Chile;Thrash/Death Metal;Active;https://www.metal-archives.com/bands/C-Nuke/3540468743
C-One;France;Heavy/Progressive  Metal;Split-up;https://www.metal-archives.com/bands/C-One/105310
C-T Prevail;Norway;Thrash Metal/Metalcore;On hold;https://www.metal-archives.com/bands/C-T_Prevail/83720
C-War;Canada;Death Metal;Split-up;https://www.metal-archives.com/bands/C-War/129656
C.A.G.E.;United States;Groove Metal/Hardcore;Split-up;https://www.metal-archives.com/bands/C.A.G.E./3540535813
C.A.I.N.;United States;Death/Black Metal;Split-up;https://www.metal-archives.com/bands/C.A.I.N./8382
C.A.Q.LL.E.D;Venezuela;Thrash/Groove/Nu-Metal;Split-up;https://www.metal-archives.com/bands/C.A.Q.LL.E.D/3540535597
C.A.R.N.E.;Mexico;Goregrind;Active;https://www.metal-archives.com/bands/C.A.R.N.E./28738
C.A.S.H.;Romania;Heavy Metal;Active;https://www.metal-archives.com/bands/C.A.S.H./10487
C.B Murdoc;Sweden;Technical Groove/Death Metal;Active;https://www.metal-archives.com/bands/C.B_Murdoc/3540344290
C.C.C.;Estonia;Death Metal;Split-up;https://www.metal-archives.com/bands/C.C.C./37736
C.C.H.B.;Sweden;Death Metal/Various;On hold;https://www.metal-archives.com/bands/C.C.H.B./3540279864
C.C.S.;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/C.C.S./34832
C.D.O.;Colombia;Thrash Metal;Active;https://www.metal-archives.com/bands/C.D.O./3540347660
C.F.C.;Brazil;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/C.F.C./3540309489
C.F.I.;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/C.F.I./113855
C.F.T.C.;Croatia;Melodic Death/Black Metal;Split-up;https://www.metal-archives.com/bands/C.F.T.C./109184
C.H.R.O.M.E;Russia;Heavy Metal;Active;https://www.metal-archives.com/bands/C.H.R.O.M.E/3540401023
C.H.U.D.;International;Goregrind;Unknown;https://www.metal-archives.com/bands/C.H.U.D./3540376071
C.I.A Hippie Mind Control;United States;Psychedelic Doom Metal;Active;https://www.metal-archives.com/bands/C.I.A_Hippie_Mind_Control/3540451016
C.I.A.;United States;Heavy/Power/Thrash Metal;Split-up;https://www.metal-archives.com/bands/C.I.A./3540496752
C.I.A.;United States;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/C.I.A./3540255882
C.I.A.;United States;Heavy/Thrash Metal with Hardcore influences;Split-up;https://www.metal-archives.com/bands/C.I.A./8081
C.L. Anger;Germany;Melodic Power Metal;Active;https://www.metal-archives.com/bands/C.L._Anger/3540460249
C.L.G.;Italy;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/C.L.G./18034
C.N.D.;United States;Crossover/Hardcore Punk/Thrash Metal;Active;https://www.metal-archives.com/bands/C.N.D./3540449742
C.N.K.S.S.;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/C.N.K.S.S./3540523892
C.N.P.;Brazil;Death Metal;Split-up;https://www.metal-archives.com/bands/C.N.P./130011
C.O.D.;Russia;Industrial Metal;Unknown;https://www.metal-archives.com/bands/C.O.D./44677
C.O.D.;France;Speed/Thrash Metal;Split-up;https://www.metal-archives.com/bands/C.O.D./37805
C.O.D.;Finland;Doom/Death Metal;Unknown;https://www.metal-archives.com/bands/C.O.D./21937
C.O.D.;Romania;Stoner Metal;Active;https://www.metal-archives.com/bands/C.O.D./3540539636
C.O.D.E.;Brazil;Thrash Metal;Unknown;https://www.metal-archives.com/bands/C.O.D.E./24379
C.O.E;Germany;Heavy Metal;Unknown;https://www.metal-archives.com/bands/C.O.E/2343
C.O.L.D.;United Kingdom;Heavy Metal;Changed name;https://www.metal-archives.com/bands/C.O.L.D./114859
C.O.M.A.;Uruguay;Thrash Metal;Active;https://www.metal-archives.com/bands/C.O.M.A./3540394636
C.O.M.A.;Switzerland;Thrash Metal;Split-up;https://www.metal-archives.com/bands/C.O.M.A./3540378559
C.O.M.A.;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/C.O.M.A./3540503273
C.O.T.L.O.D.;France;Death/Thrash Metal;Changed name;https://www.metal-archives.com/bands/C.O.T.L.O.D./59845
C.R.U.C.I.F.I.X.S.;Argentina;Black/Death Metal;Active;https://www.metal-archives.com/bands/C.R.U.C.I.F.I.X.S./3540360982
C.R.U.E;Brazil;Black/Death Metal;Active;https://www.metal-archives.com/bands/C.R.U.E/3540492256
C.R.Y.;Ecuador;Black/Death Metal;Active;https://www.metal-archives.com/bands/C.R.Y./54920
C.U.L.T.O.;Argentina;Black Metal;Active;https://www.metal-archives.com/bands/C.U.L.T.O./3540476260
C.U.N.T.;Sweden;Goregrind;Active;https://www.metal-archives.com/bands/C.U.N.T./3540415616
C.V.I.;Brazil;Grindcore, Death Metal;Split-up;https://www.metal-archives.com/bands/C.V.I./2510
C.W.D.;Ukraine;Raw/Symphonic Black Metal;Active;https://www.metal-archives.com/bands/C.W.D./3540447864
C.X.;Russia;Sludge/Doom Metal;Active;https://www.metal-archives.com/bands/C.X./3540389821
C​.​Y​.​A​.​T​.​E​.​C.;Spain;Death/Thrash Metal/Hardcore;Split-up;https://www.metal-archives.com/bands/C%E2%80%8B.%E2%80%8BY%E2%80%8B.%E2%80%8BA%E2%80%8B.%E2%80%8BT%E2%80%8B.%E2%80%8BE%E2%80%8B.%E2%80%8BC./3540536398
C.Y.C.L.E.;United States;Doom Metal;Split-up;https://www.metal-archives.com/bands/C.Y.C.L.E./3540323991
C.Y.T;France;Black Metal;Split-up;https://www.metal-archives.com/bands/C.Y.T/49893
C'est la Guerre;Japan;Doom/Death Metal;Changed name;https://www.metal-archives.com/bands/C%27est_la_Guerre/3540318521
C/56;Brazil;Thrash Metal;Active;https://www.metal-archives.com/bands/C-56/3540285492
C2N2;Poland;Sludge/Atmospheric Black Metal;Unknown;https://www.metal-archives.com/bands/C2N2/3540484484
C4;Argentina;Heavy/Thrash Metal;Split-up;https://www.metal-archives.com/bands/C4/3540446405
C9H9N;Hong Kong;Goregrind;Active;https://www.metal-archives.com/bands/C9H9N/3540532178
Ca$e Closed;United States;Death Metal;Active;https://www.metal-archives.com/bands/Ca%24e_Closed/3540478453
Caacrinolaas;Spain;Black Metal;Split-up;https://www.metal-archives.com/bands/Caacrinolaas/3540368479
Caacrinolas;Germany;Experimental Black Metal;Active;https://www.metal-archives.com/bands/Caacrinolas/76592
Caamos;Finland;Melodic Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Caamos/61627
Caarcrinolas;France;Experimental Death Metal;Split-up;https://www.metal-archives.com/bands/Caarcrinolas/35727
Caassimolar;Japan;Death Metal;Active;https://www.metal-archives.com/bands/Caassimolar/3540453205
Cab;United States;Heavy/Doom Metal;Unknown;https://www.metal-archives.com/bands/Cab/3540323661
Cab Ride Home;United States;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/Cab_Ride_Home/3540277645
Cabal;Ecuador;Metalcore;Active;https://www.metal-archives.com/bands/Cabal/3540481071
Cabal;Sweden;Death Metal;Split-up;https://www.metal-archives.com/bands/Cabal/35119
Cabal;Germany;Heavy/Power Metal;Unknown;https://www.metal-archives.com/bands/Cabal/4920
Cabal;France;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/Cabal/54597
Cabal;Finland;Groove Metal;On hold;https://www.metal-archives.com/bands/Cabal/4711
Cabal;Nicaragua;Death Metal/Grindcore;Changed name;https://www.metal-archives.com/bands/Cabal/48499
Cabal;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/Cabal/38123
Cabal;United States;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Cabal/8951
Cabal A.D.;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/Cabal_A.D./40348
Cabal Cripta;Italy;Thrash Metal;Unknown;https://www.metal-archives.com/bands/Cabal_Cripta/3540317481
Cabal666;France;Black Metal;Split-up;https://www.metal-archives.com/bands/Cabal666/3540523764
Cabala;United Kingdom;Death Metal;Split-up;https://www.metal-archives.com/bands/Cabala/22915
Cabalistic;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/Cabalistic/37386
Cabalistic;Australia;Technical Death Metal;Split-up;https://www.metal-archives.com/bands/Cabalistic/3540444683
Cabalistic Conjuration;Peru;Black Metal;Split-up;https://www.metal-archives.com/bands/Cabalistic_Conjuration/3540450018
Caballero;Finland;Heavy Metal;Active;https://www.metal-archives.com/bands/Caballero/3540547573
Caballero Desnudo;Colombia;Melodic Heavy Metal;Active;https://www.metal-archives.com/bands/Caballero_Desnudo/3540534780
Caballero Errante;Bolivia;Heavy Metal;Active;https://www.metal-archives.com/bands/Caballero_Errante/3540540667
Caballero Negro;El Salvador;Heavy Metal;On hold;https://www.metal-archives.com/bands/Caballero_Negro/3540331649
Caballero Negro;Guatemala;Heavy Metal;Active;https://www.metal-archives.com/bands/Caballero_Negro/3540401341
Caballeros;Argentina;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Caballeros/3540529898
Caballo de Hierro;Spain;Heavy/Speed Metal;Split-up;https://www.metal-archives.com/bands/Caballo_de_Hierro/3540489709
Caballo de Metal;Argentina;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Caballo_de_Metal/3540487537
Caballo de Plomo;Peru;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Caballo_de_Plomo/3540307355
Caballo Salvaje;Argentina;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Caballo_Salvaje/3540440001
Cabals Brut;Germany;Black Metal;Active;https://www.metal-archives.com/bands/Cabals_Brut/3540288019
Caban;Chile;Death/Groove Metal;Active;https://www.metal-archives.com/bands/Caban/3540430740
Cabaret Aberrante;Spain;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Cabaret_Aberrante/3540345655
Cabaret for Bereaved;Finland;Black Metal;Split-up;https://www.metal-archives.com/bands/Cabaret_for_Bereaved/31003
Cabestro;Spain;Grindcore/Death Metal;Split-up;https://www.metal-archives.com/bands/Cabestro/3540436443
Cabeza;Sweden;Black/Death Metal;Active;https://www.metal-archives.com/bands/Cabeza/3540481308
Cabeza de Caballo;Spain;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Cabeza_de_Caballo/3540297563
Cabeza de Martillo;Panama;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Cabeza_de_Martillo/34874
Cabezä de Perro;Mexico;Thrash Metal/Crossover/Oi!;Active;https://www.metal-archives.com/bands/Cabez%C3%A4_de_Perro/3540467524
Cabeza Enclavada;Spain;Thrash Metal;Active;https://www.metal-archives.com/bands/Cabeza_Enclavada/3540498472
Cabezas Morbosas;Panama;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Cabezas_Morbosas/3540519319
Cabinet;United States;Black/Death Metal;Active;https://www.metal-archives.com/bands/Cabinet/3540493458
Cable;United States;"Metalcore/Hardcore (early); Atmospheric Sludge Metal (later)";Split-up;https://www.metal-archives.com/bands/Cable/103929
Cable a Tierra;Chile;Heavy Metal;Active;https://www.metal-archives.com/bands/Cable_a_Tierra/3540424146
Cabo de Hornos;Argentina;Death Metal/Grindcore;Unknown;https://www.metal-archives.com/bands/Cabo_de_Hornos/3540493999
Caboaño;Spain;Funeral Doom Metal;Active;https://www.metal-archives.com/bands/Caboa%C3%B1o/3540538098
Cabodano;Spain;Melodic Metalcore;Active;https://www.metal-archives.com/bands/Cabodano/3540456597
Cabra;United States;Black Metal;Active;https://www.metal-archives.com/bands/Cabra/3540440418
Cabra Infernal;Ecuador;Raw Black Metal;Active;https://www.metal-archives.com/bands/Cabra_Infernal/3540461127
Cabra Negra;Colombia;Thrash/Black Metal;Active;https://www.metal-archives.com/bands/Cabra_Negra/117089
Cabracan;Mexico;Death/Folk Metal;Changed name;https://www.metal-archives.com/bands/Cabracan/3540334052
Cabrakaän;Mexico;Folk/Symphonic Metal;Active;https://www.metal-archives.com/bands/Cabraka%C3%A4n/3540382600
Cabral;Argentina;Heavy Metal;Active;https://www.metal-archives.com/bands/Cabral/3540441982
Cabrero;Brazil;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Cabrero/43084
Cabrero;Argentina;Melodic Thrash Metal;Active;https://www.metal-archives.com/bands/Cabrero/3540435307
Cabresto;Argentina;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Cabresto/3540356026
Cabrio;Chile;Thrash Metal;Active;https://www.metal-archives.com/bands/Cabrio/3540439642
Cabrocordero;Argentina;Sludge/Stoner Metal/Experimental;Unknown;https://www.metal-archives.com/bands/Cabrocordero/3540356036
Cabron;Russia;Black Metal;Changed name;https://www.metal-archives.com/bands/Cabron/3540340159
Cabut Nyawa;Indonesia;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Cabut_Nyawa/3540357647
Caçador de Almas;Brazil;Death Metal;Active;https://www.metal-archives.com/bands/Ca%C3%A7ador_de_Almas/3540349961
Cacahuet;Spain;Black/Death Metal;Unknown;https://www.metal-archives.com/bands/Cacahuet/3540538468
Cacaodemon;United States;Pagan Black Metal;Active;https://www.metal-archives.com/bands/Cacaodemon/3540534549
Cacaorcass;United States;Goregrind;Active;https://www.metal-archives.com/bands/Cacaorcass/3540481517
Cacator;Netherlands;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Cacator/3540457766
Cacatory;Netherlands;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Cacatory/3540516574
Caccamon;Italy;Death/Black Metal;Unknown;https://www.metal-archives.com/bands/Caccamon/10528
Cacealma;Romania;Death Metal;Split-up;https://www.metal-archives.com/bands/Cacealma/110629
Cacería;Mexico;Heavy/Power Metal;Active;https://www.metal-archives.com/bands/Cacer%C3%ADa/3540464795
