Name;Country;Genre;Status;URL
F;Finland;Brutal Death Metal;On hold;https://www.metal-archives.com/bands/F/73298
F;Finland;Progressive Metal;Split-up;https://www.metal-archives.com/bands/F/27506
F & M;Brazil;Raw Black Metal;Active;https://www.metal-archives.com/bands/F_%26_M/3540385659
F 6:17;Mexico;Blackened Death Metal;Active;https://www.metal-archives.com/bands/F_6%3A17/3540416478
F-60;Germany;Melodic Death Metal;Active;https://www.metal-archives.com/bands/F-60/3540441028
F-Gor;Russia;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/F-Gor/56536
F-Side;Italy;Progressive/Melodic Death Metal;Active;https://www.metal-archives.com/bands/F-Side/3540425522
F. Roses;Japan;Melodic Power Metal;Active;https://www.metal-archives.com/bands/F._Roses/27169
F.A.C.E.;Bulgaria;Progressive Metal/Rock;On hold;https://www.metal-archives.com/bands/F.A.C.E./3540381828
F.A.C.E.;Japan;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/F.A.C.E./3540513246
F.A.F.;Canada;Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.A.F./3540338149
F.A.I.T.H.;Ukraine;Melodic Death/Thrash Metal;Active;https://www.metal-archives.com/bands/F.A.I.T.H./112168
F.A.L.;Argentina;Thrash/Death Metal;On hold;https://www.metal-archives.com/bands/F.A.L./111936
F.A.M.;Poland;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/F.A.M./68879
F.A.M.A.S.;France;Black Metal;Active;https://www.metal-archives.com/bands/F.A.M.A.S./125902
F.B. Bastard;Switzerland;Speed/Heavy Metal;Changed name;https://www.metal-archives.com/bands/F.B._Bastard/2970
F.B.I.;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/F.B.I./103059
F.B.O.T.;Mexico;Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.B.O.T./3540414805
F.C.A.;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/F.C.A./3540321779
F.C.D.N. Tormentor;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/F.C.D.N._Tormentor/48119
F.D.B.;Bulgaria;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/F.D.B./3540262529
F.D.P.;France;Speed/Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.D.P./37092
F.E.A.R.;United States;Groove Metal/Metalcore;Active;https://www.metal-archives.com/bands/F.E.A.R./3540418225
F.E.M.A.;Australia;Thrash Metal;Active;https://www.metal-archives.com/bands/F.E.M.A./3540468751
F.I.C.;New Zealand;Death/Doom/Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.I.C./3540548589
F.I.G.M.O;United Kingdom;Heavy Metal/Hard Rock/Power Metal;Unknown;https://www.metal-archives.com/bands/F.I.G.M.O/3540481090
F.I.K'Ass;France;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.I.K%27Ass/3540548876
F.K.Ü.;Sweden;Thrash Metal;Active;https://www.metal-archives.com/bands/F.K.%C3%9C./1321
F​.​L​.​B​.​B.;Germany;Raw Black Metal;Active;https://www.metal-archives.com/bands/F%E2%80%8B.%E2%80%8BL%E2%80%8B.%E2%80%8BB%E2%80%8B.%E2%80%8BB./3540484992
F.M Driver;Korea, South;Power Metal;Active;https://www.metal-archives.com/bands/F.M_Driver/3540403889
F.M.C.;Italy;Thrash Metal;Unknown;https://www.metal-archives.com/bands/F.M.C./114435
F.M.N;China;Symphonic Metal;Active;https://www.metal-archives.com/bands/F.M.N/3540529780
F.O.A.D;Sweden;Thrash Metal;Active;https://www.metal-archives.com/bands/F.O.A.D/3540407531
F.O.A.M.;United States;Grindcore/Powerviolence;Active;https://www.metal-archives.com/bands/F.O.A.M./3540537285
F.O.B;Finland;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/F.O.B/3540495938
F.O.B.;Czechia;Melodic Death/Thrash Metal, Metalcore;Active;https://www.metal-archives.com/bands/F.O.B./8028
F.O.D;Indonesia;Thrash Metal/Punk;Active;https://www.metal-archives.com/bands/F.O.D/3540347611
F.O.D.;Poland;Thrash/Heavy Metal;Split-up;https://www.metal-archives.com/bands/F.O.D./83403
F.O.G.;United States;Heavy Metal, Hard Rock;Split-up;https://www.metal-archives.com/bands/F.O.G./69963
F.O.W.;Czechia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.O.W./95688
F.P.G.S.;Austria;Experimental Black/Doom Metal;Unknown;https://www.metal-archives.com/bands/F.P.G.S./118453
F.R.A.M.;Ukraine;Folk Metal;Active;https://www.metal-archives.com/bands/F.R.A.M./3540336649
F.R.O.S.T.;Greece;Black Metal;Split-up;https://www.metal-archives.com/bands/F.R.O.S.T./20620
F.R.Y.;Russia;Melodic Death Metal;On hold;https://www.metal-archives.com/bands/F.R.Y./99998
F.T.G.;Malaysia;Thrash Metal;Active;https://www.metal-archives.com/bands/F.T.G./19500
F.U.B.A.R.;United States;Crossover/Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.U.B.A.R./3540269863
F.U.B.A.R.;United States;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/F.U.B.A.R./3540385847
F.U.C.K.;Chile;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/F.U.C.K./3540327916
F.U.C.Kings;Germany;Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.U.C.Kings/89689
F.U.C.T.;United States;Thrash Metal/Crossover;On hold;https://www.metal-archives.com/bands/F.U.C.T./15333
F.U.D.;United States;Crossover/Thrash Metal;Split-up;https://www.metal-archives.com/bands/F.U.D./3540398405
F.Y.S.G.;Poland;Black Metal;Active;https://www.metal-archives.com/bands/F.Y.S.G./3540448793
F104;United Kingdom;NWOBHM/Heavy Metal;Split-up;https://www.metal-archives.com/bands/F104/3540411441
F21;Japan;Melodic Heavy Metal;Unknown;https://www.metal-archives.com/bands/F21/68883
F29;United States;Groove/Doom Metal;Active;https://www.metal-archives.com/bands/F29/3540476796
F41.0;Germany;Atmospheric Black Metal;Active;https://www.metal-archives.com/bands/F41.0/3540359910
F44.3;Poland;Groove/Thrash Metal;Active;https://www.metal-archives.com/bands/F44.3/3540505729
F45.2;Unknown;Black Metal;Active;https://www.metal-archives.com/bands/F45.2/3540450030
F5;United States;Power/Thrash Metal;On hold;https://www.metal-archives.com/bands/F5/51785
Fa-Q;United States;Groove/Thrash/Stoner Metal;Split-up;https://www.metal-archives.com/bands/Fa-Q/2279
Faagia;Hungary;Black Metal;Split-up;https://www.metal-archives.com/bands/Faagia/3540372878
Faagrim;Germany;Black Metal;Split-up;https://www.metal-archives.com/bands/Faagrim/3540284236
Faal;Netherlands;Funeral Doom/Death Metal;Split-up;https://www.metal-archives.com/bands/Faal/3540266217
Faanefjell;Norway;Symphonic Black/Folk Metal;Active;https://www.metal-archives.com/bands/Faanefjell/3540315962
Faarthkrag;Belgium;Black Metal;Active;https://www.metal-archives.com/bands/Faarthkrag/3540263272
Faast Orange;Belgium;Power/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Faast_Orange/72954
Fabbri Macellai;Italy;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/Fabbri_Macellai/3540317084
Fabián Ingrassia;Argentina;Heavy/Thrash Metal;Changed name;https://www.metal-archives.com/bands/Fabi%C3%A1n_Ingrassia/125376
Fabian Linders;Netherlands;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/Fabian_Linders/3540497962
Fabian Rauter;Austria;Progressive Metal;Active;https://www.metal-archives.com/bands/Fabian_Rauter/3540402650
Fabiano Romagnoli;Italy;Progressive Metal;Active;https://www.metal-archives.com/bands/Fabiano_Romagnoli/126366
Fabiant;Belarus;Melodic Gothic/Death/Thrash/Folk Metal;Active;https://www.metal-archives.com/bands/Fabiant/3540343091
Fabio;International;Goregrind;Active;https://www.metal-archives.com/bands/Fabio/3540489962
Fabio La Manna;Italy;Progressive Metal;Active;https://www.metal-archives.com/bands/Fabio_La_Manna/3540384702
Fábio Laguna;Brazil;Progressive Metal/Shred;Active;https://www.metal-archives.com/bands/F%C3%A1bio_Laguna/3540257124
Fabio Lentola;Italy;Progressive Metal;Active;https://www.metal-archives.com/bands/Fabio_Lentola/30684
Fabio Montorzi;Italy;Neoclassical Heavy Metal/Shred;Active;https://www.metal-archives.com/bands/Fabio_Montorzi/25055
Fabio Morese;Italy;Progressive Metal/Rock;Active;https://www.metal-archives.com/bands/Fabio_Morese/3540269202
Fable;Australia;Epic/Folk Black Metal;Active;https://www.metal-archives.com/bands/Fable/3540413375
Fable Silence;Greece;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Fable_Silence/3540499610
Fabler;United States;Doom/Stoner Metal;Active;https://www.metal-archives.com/bands/Fabler/3540526069
Fables;United States;Experimental Black Metal;Active;https://www.metal-archives.com/bands/Fables/3540478011
Fabrica de Caníbales;Ecuador;Grindcore/Death Metal;Split-up;https://www.metal-archives.com/bands/Fabrica_de_Can%C3%ADbales/42905
Fábrica Morta;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/F%C3%A1brica_Morta/3540272662
Fabricant;United States;Death Metal;Active;https://www.metal-archives.com/bands/Fabricant/3540317471
Fabricantes;Argentina;Progressive Stoner Rock/Metal;Active;https://www.metal-archives.com/bands/Fabricantes/3540417869
Fabula Noctis;Italy;Symphonic Metal;Active;https://www.metal-archives.com/bands/Fabula_Noctis/3540401508
Fabula Rasa;Germany;Power/Folk Metal;Active;https://www.metal-archives.com/bands/Fabula_Rasa/3540462596
Fabulae Dramatis;Belgium;Progressive/Avant-garde Metal;Active;https://www.metal-archives.com/bands/Fabulae_Dramatis/3540353210
Fabulam Fier;Finland;Death Metal;Active;https://www.metal-archives.com/bands/Fabulam_Fier/126508
Fabulous;Poland;Death Metal;Split-up;https://www.metal-archives.com/bands/Fabulous/55514
Fabulous Desaster;Germany;Thrash Metal;Active;https://www.metal-archives.com/bands/Fabulous_Desaster/3540384122
Facada;Brazil;Grindcore/Crust/Death Metal;Active;https://www.metal-archives.com/bands/Facada/37461
Façade;Netherlands;Doom/Death Metal;Active;https://www.metal-archives.com/bands/Fa%C3%A7ade/3540361769
Facas;Brazil;Sludge Metal;Active;https://www.metal-archives.com/bands/Facas/3540471053
Facção Suicida;Brazil;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/Fac%C3%A7%C3%A3o_Suicida/129316
Faccion de Sangre;Brazil;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/Faccion_de_Sangre/3540317982
Face;Poland;Progressive Thrash/Heavy Metal;Split-up;https://www.metal-archives.com/bands/Face/71308
Face do Horror;Brazil;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Face_do_Horror/3540450696
Face Down;France;Southern/Groove Metal;Active;https://www.metal-archives.com/bands/Face_Down/3540317811
Face Down;Sweden;Groove/Death Metal;Split-up;https://www.metal-archives.com/bands/Face_Down/2451
Face Down Hero;Germany;Thrash Metal;Active;https://www.metal-archives.com/bands/Face_Down_Hero/54421
Face Fear;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Face_Fear/46616
Face First;United States;Crossover/Thrash Metal;Active;https://www.metal-archives.com/bands/Face_First/3540481294
Face First;United States;Thrash/Groove Metal/Metalcore;Unknown;https://www.metal-archives.com/bands/Face_First/75571
Face First;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/Face_First/3540500450
Face It Out;Brazil;Groove Metal;Active;https://www.metal-archives.com/bands/Face_It_Out/13067
Face New World;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/Face_New_World/12240
Face of a Virus;Portugal;Groove/Thrash Metal;Unknown;https://www.metal-archives.com/bands/Face_of_a_Virus/74239
Face of Agony;Slovakia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Face_of_Agony/59630
Face of Anger;United States;Thrash/Groove Metal;Unknown;https://www.metal-archives.com/bands/Face_of_Anger/46962
Face of Chaos;Finland;Death/Thrash/Groove Metal;Active;https://www.metal-archives.com/bands/Face_of_Chaos/3540350903
Face of Desaster;Brazil;Thrash/Speed Metal;Active;https://www.metal-archives.com/bands/Face_of_Desaster/3540455487
Face of Evil;Sweden;Black/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Face_of_Evil/19341
Face of Fatality;United Kingdom;Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/Face_of_Fatality/3540255332
Face of Fear;Italy;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/Face_of_Fear/86886
Face of Hate;Poland;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Face_of_Hate/3540380009
Face of Korruption;United States;Slam/Brutal Death Metal;Active;https://www.metal-archives.com/bands/Face_of_Korruption/3540525081
Face of Oblivion;United States;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Face_of_Oblivion/3540330255
Face of Ruin;United States;"Progressive Death Metal/Metalcore (early); Death Metal (later)";Split-up;https://www.metal-archives.com/bands/Face_of_Ruin/73591
Face of the Enemy;United States;Thrash/Heavy Metal;Split-up;https://www.metal-archives.com/bands/Face_of_the_Enemy/95240
Face Rot;United States;Blackened Grindcore;Unknown;https://www.metal-archives.com/bands/Face_Rot/3540384794
Face the Fact;Netherlands;Death/Thrash Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/Face_the_Fact/3540273472
Face the Fact;Italy;Melodic Death Metal/Deathcore;Unknown;https://www.metal-archives.com/bands/Face_the_Fact/46991
Face the Flames;United States;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Face_the_Flames/3540426504
Face the Hate;United States;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Face_the_Hate/3540506258
Face the Hate;Canada;Groove Metal;Active;https://www.metal-archives.com/bands/Face_the_Hate/3540386263
Face the Horde;United States;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Face_the_Horde/3540459055
Face the Misery;France;Symphonic Death Metal/Deathcore;Active;https://www.metal-archives.com/bands/Face_the_Misery/3540437753
Face the Unknown;United Kingdom;Thrash Metal;Unknown;https://www.metal-archives.com/bands/Face_the_Unknown/3540305242
Face the Wall;Slovakia;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Face_the_Wall/3540537666
Face the Wheel;United States;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/Face_the_Wheel/3540473991
Face the Wind;Ukraine;Metalcore;Active;https://www.metal-archives.com/bands/Face_the_Wind/3540502604
Face to Face;France;Heavy Metal;Active;https://www.metal-archives.com/bands/Face_to_Face/3432
Face Towards Enemy;United Kingdom;Southern/Groove Metal;Unknown;https://www.metal-archives.com/bands/Face_Towards_Enemy/3540501811
Face Yourself;Slovakia;Melodic Death Metal/Metalcore;Unknown;https://www.metal-archives.com/bands/Face_Yourself/3540329064
Face.X;Russia;Progressive Metal;Unknown;https://www.metal-archives.com/bands/Face.X/80989
Faceache;United Kingdom;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Faceache/86709
Faceblaster;United States;Thrash Metal/Hardcore;Active;https://www.metal-archives.com/bands/Faceblaster/3540376171
Facebreaker;Sweden;Death Metal;Active;https://www.metal-archives.com/bands/Facebreaker/7837
Facebreaker;Mexico;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/Facebreaker/3540535228
Facecrime;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Facecrime/19247
Faced;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/Faced/3540447979
Faced Out;Spain;Metalcore/Hardcore;Active;https://www.metal-archives.com/bands/Faced_Out/3540485646
Faced Reality;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/Faced_Reality/48817
