Name;Country;Genre;Status;URL
R & R;Sweden;Heavy Metal;Split-up;https://www.metal-archives.com/bands/R_%26_R/35622
R-Akzioa;Spain;Power Metal;Split-up;https://www.metal-archives.com/bands/R-Akzioa/112855
R-Genium;Russia;Symphonic Power Metal;On hold;https://www.metal-archives.com/bands/R-Genium/3540333589
R:I:P;Germany;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/R%3AI%3AP/91681
R. Nikolaenko;Russia;Experimental/Depressive Black Metal;Active;https://www.metal-archives.com/bands/R._Nikolaenko/3540358175
R.A.F.D.;Finland;Heavy Metal;Split-up;https://www.metal-archives.com/bands/R.A.F.D./3540500084
R.A.I.C.E.S.;Mexico;Death Metal;Split-up;https://www.metal-archives.com/bands/R.A.I.C.E.S./25895
R.A.I.D.;Ukraine;Death Metal;Split-up;https://www.metal-archives.com/bands/R.A.I.D./3540290833
R.A.I.D.;Japan;Speed/Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.A.I.D./3540471442
R.A.I.V.A.;Portugal;Groove Metal/Hard Rock;Active;https://www.metal-archives.com/bands/R.A.I.V.A./3540447153
R.A.V.A.G.E.;United States;Death/Thrash Metal;Changed name;https://www.metal-archives.com/bands/R.A.V.A.G.E./49014
R.A.W.;Germany;Melodic Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.A.W./58775
R.A.W.W.A.R.;Canada;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.A.W.W.A.R./38545
R.A.Z.;France;Death Metal;Split-up;https://www.metal-archives.com/bands/R.A.Z./3540334644
R.B.Band;France;Groove Metal;Active;https://www.metal-archives.com/bands/R.B.Band/3540381107
R.C.P;United States;Death/Doom Metal;Changed name;https://www.metal-archives.com/bands/R.C.P/3540361839
R.D.S.K.;France;Symphonic Gothic Metal;Active;https://www.metal-archives.com/bands/R.D.S.K./3540322008
R.D.X.;Italy;Groove/Thrash Metal;Unknown;https://www.metal-archives.com/bands/R.D.X./3540486889
R.E.B.E.L.S;Argentina;Speed/Heavy Metal;Active;https://www.metal-archives.com/bands/R.E.B.E.L.S/3540509234
R.E.T.;Czechia;"Heavy Metal (early); Doom/Gothic Metal (later)";Split-up;https://www.metal-archives.com/bands/R.E.T./13399
R.E.X.;Finland;Melodic Death Metal;Active;https://www.metal-archives.com/bands/R.E.X./3540271945
R.H.D.;Brazil;Crossover;Active;https://www.metal-archives.com/bands/R.H.D./79563
R.I.P;Argentina;Groove/Thrash Metal;Active;https://www.metal-archives.com/bands/R.I.P/3540405385
R.I.P;Malaysia;Grindcore;Active;https://www.metal-archives.com/bands/R.I.P/3540481234
R.I.P Reapers;Ecuador;Thrash Metal;Active;https://www.metal-archives.com/bands/R.I.P_Reapers/3540449769
R.I.P.;Costa Rica;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.I.P./3540315747
R.I.P.;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.I.P./3540509305
R.I.P.;France;Thrash/Death Metal;Active;https://www.metal-archives.com/bands/R.I.P./3540482180
R.I.P.;Poland;Thrash/Speed Metal;Active;https://www.metal-archives.com/bands/R.I.P./3540503696
R.I.P.;Peru;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.I.P./111538
R.I.P.;Germany;Black Metal/Avant-garde;Split-up;https://www.metal-archives.com/bands/R.I.P./44996
R.I.P.;Germany;Death Metal;Active;https://www.metal-archives.com/bands/R.I.P./3540477904
R.I.P.;Mexico;"Speed/Power Metal (early); Thrash Metal (later)";Active;https://www.metal-archives.com/bands/R.I.P./68821
R.I.P.;United States;Doom Metal;Active;https://www.metal-archives.com/bands/R.I.P./3540408812
R.I.P.;United States;Power/Thrash Metal;Active;https://www.metal-archives.com/bands/R.I.P./51953
R.I.P. Sanity;United Kingdom;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/R.I.P._Sanity/3540371886
R.I.P. Soldier;Brazil;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.I.P._Soldier/3540298407
R.N.D.;Czechia;Death Metal;Split-up;https://www.metal-archives.com/bands/R.N.D./3540446907
R.N.V.;China;Black/Death Metal;Active;https://www.metal-archives.com/bands/R.N.V./3540448679
R.O.C.K.;United States;Heavy Metal;Changed name;https://www.metal-archives.com/bands/R.O.C.K./3540479397
R.O.D.;Poland;Thrash Metal;Active;https://www.metal-archives.com/bands/R.O.D./3540277799
R.O.J.O.;Spain;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.O.J.O./3540263108
R.O.L.F.;Spain;Doom/Sludge Metal/Death 'n' Roll;Active;https://www.metal-archives.com/bands/R.O.L.F./3540348982
R.O.T.;United States;Power/Speed Metal;Split-up;https://www.metal-archives.com/bands/R.O.T./117853
R.O.T.;Italy;Death Metal;Active;https://www.metal-archives.com/bands/R.O.T./3540443268
R.O.T.;Spain;Thrash Metal;Split-up;https://www.metal-archives.com/bands/R.O.T./3540272283
R.P.F.;Netherlands;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/R.P.F./3540383971
R.T.A.G;Indonesia;Heavy/Stoner Metal;Active;https://www.metal-archives.com/bands/R.T.A.G/3540531199
R.U. Dead?;Germany;Death Metal;Split-up;https://www.metal-archives.com/bands/R.U._Dead%3F/11378
R.U. Deadly;United States;Thrash/Power Metal;Split-up;https://www.metal-archives.com/bands/R.U._Deadly/94176
R.U.A.;Brazil;Thrash Metal/Crossover/Hardcore;Active;https://www.metal-archives.com/bands/R.U.A./3540520762
R.U.S.T.;Romania;Heavy Metal;Active;https://www.metal-archives.com/bands/R.U.S.T./100422
