Name;Country;Genre;Status;URL
Ê;France;"Brutal Death Metal (early); Death/Doom Metal (later)";Unknown;https://www.metal-archives.com/bands/%C3%8A/3540332818
E;International;Experimental Black Metal/Post-Punk;Active;https://www.metal-archives.com/bands/E/3540413558
E 605;Germany;Melodic Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/E_605/12460
E Capruun;Italy;Speed/Thrash Metal;Split-up;https://www.metal-archives.com/bands/E_Capruun/3540325521
E Nora;France;Progressive/Symphonic Metal;Active;https://www.metal-archives.com/bands/E_Nora/3540288520
E Pluribus Unum;United Kingdom;Black Metal;Split-up;https://www.metal-archives.com/bands/E_Pluribus_Unum/3540479216
E Trite Moira;Italy;Black Metal;Split-up;https://www.metal-archives.com/bands/E_Trite_Moira/31925
E-Force;Canada;Thrash Metal;Active;https://www.metal-archives.com/bands/E-Force/14549
E-L-R;Switzerland;Atmospheric Doom/Post-Metal;Active;https://www.metal-archives.com/bands/E-L-R/3540508724
E-Lane;Germany;Progressive/Gothic Metal;Split-up;https://www.metal-archives.com/bands/E-Lane/50819
E-Thereal;Singapore;Death Metal;Active;https://www.metal-archives.com/bands/E-Thereal/30659
E-X-E;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/E-X-E/1528
e-Zuka;Japan;Heavy/Power Metal/Hard Rock, Soundtrack;Active;https://www.metal-archives.com/bands/e-Zuka/3540531451
"E;LAN";Japan;Speed Metal;Active;https://www.metal-archives.com/bands/E%3BLAN/3540416960
E.A.G.L.E.;Canada;Black Metal;Active;https://www.metal-archives.com/bands/E.A.G.L.E./3540428389
E.A.K.;Portugal;Death/Thrash Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/E.A.K./82716
E.B.D.B.;Belgium;Brutal Death Metal;Active;https://www.metal-archives.com/bands/E.B.D.B./3540358717
E.C.H. IX;Poland;Crossover;Split-up;https://www.metal-archives.com/bands/E.C.H._IX/35828
E.D.I.E.H.;China;Black Metal/Dark Ambient/Folk/Acoustic;Active;https://www.metal-archives.com/bands/E.D.I.E.H./78522
E.D.O.M.;Romania;Extreme Gothic Metal;Split-up;https://www.metal-archives.com/bands/E.D.O.M./105329
E.E.O.G.;United States;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/E.E.O.G./3540444666
