Name;Country;Genre;Status;URL
G-Clad;Australia;Technical Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/G-Clad/94793
G-Core;Venezuela;Grindcore/Hardcore;Active;https://www.metal-archives.com/bands/G-Core/3540527311
G-Hud;Poland;Thrash/Death/Groove Metal;Changed name;https://www.metal-archives.com/bands/G-Hud/3540393608
G-nomes;France;Thrash Metal;Active;https://www.metal-archives.com/bands/G-nomes/3540498332
G-Reizzt;Germany;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/G-Reizzt/46398
G-Zet;Japan;Heavy Metal/Punk;Split-up;https://www.metal-archives.com/bands/G-Zet/3540389166
G.-L.O.C.;United States;Progressive Power Metal;Split-up;https://www.metal-archives.com/bands/G.-L.O.C./13902
G.A.R.G.O.Y.L.E.;Ukraine;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/G.A.R.G.O.Y.L.E./3540416897
G.A.R.M.;Russia;Black Metal;Active;https://www.metal-archives.com/bands/G.A.R.M./3540398152
G.A.S;Indonesia;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/G.A.S/3540391097
G.A.T.E.S.;Japan;Thrash/Heavy Metal/Punk;Active;https://www.metal-archives.com/bands/G.A.T.E.S./41426
G.D.R.;Russia;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/G.D.R./3540471127
G.I.S.M.;Japan;Hardcore Punk, Heavy Metal;Split-up;https://www.metal-archives.com/bands/G.I.S.M./15809
G.L.A.S.;Italy;"Heavy Metal/Hard Rock (early); Melodic Hard Rock (later)";Split-up;https://www.metal-archives.com/bands/G.L.A.S./43080
G.L.A.S.S.;Germany;Progressive/Power Metal;Active;https://www.metal-archives.com/bands/G.L.A.S.S./3540316774
G.L.S.;United States;Death Metal;Split-up;https://www.metal-archives.com/bands/G.L.S./61673
G.O.D.;Canada;Thrash Metal;Active;https://www.metal-archives.com/bands/G.O.D./40534
G.O.D.;Honduras;Speed/Thrash Metal;Active;https://www.metal-archives.com/bands/G.O.D./10365
G.O.D.;Sweden;Doom/Death/Black Metal;Split-up;https://www.metal-archives.com/bands/G.O.D./116723
G.O.D.S.;Argentina;Melodic Death Metal;On hold;https://www.metal-archives.com/bands/G.O.D.S./3540509337
G.O.E.;Italy;Black Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/G.O.E./63913
G.O.P;Japan;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/G.O.P/3540537965
G.O.R.E;Czechia;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/G.O.R.E/45315
G.O.R.E.;Finland;Thrash Metal;Split-up;https://www.metal-archives.com/bands/G.O.R.E./30136
G.P.I.;United Kingdom;Death/Thrash/Industrial Metal;Split-up;https://www.metal-archives.com/bands/G.P.I./86719
G.R.I.M.;Norway;Doom Metal;Active;https://www.metal-archives.com/bands/G.R.I.M./3540501755
G.R.I.T;United States;Groove Metal;Unknown;https://www.metal-archives.com/bands/G.R.I.T/3540547009
G.R.I.T.H.;Russia;Progressive/Death Metal;Active;https://www.metal-archives.com/bands/G.R.I.T.H./3540385634
G.R.U.M.;United States;Death Metal/Goregrind;Active;https://www.metal-archives.com/bands/G.R.U.M./3540521737
G.T.I.;France;Death Metal/Grindcore/Hardcore;Split-up;https://www.metal-archives.com/bands/G.T.I./33318
G.U.L.A.G. 1937;United States;Atmospheric Black Metal/Ambient;Unknown;https://www.metal-archives.com/bands/G.U.L.A.G._1937/3540483953
G.U.T.;Norway;Avant-garde Black Metal/Electronica;On hold;https://www.metal-archives.com/bands/G.U.T./96927
G.Z.P;France;Death Metal/Goregrind;Active;https://www.metal-archives.com/bands/G.Z.P/3540489662
G'mork;United States;Black Metal;Unknown;https://www.metal-archives.com/bands/G%27mork/20083
G'Rova;Italy;Thrash Metal;Active;https://www.metal-archives.com/bands/G%27Rova/3540492507
G(e)nom;Germany;Heavy Metal/Hard Rock;Unknown;https://www.metal-archives.com/bands/G%28e%29nom/32479
G2 Evolution;Colombia;Melodic Death Metal;Active;https://www.metal-archives.com/bands/G2_Evolution/3540315980
G6PD;Thailand;Metalcore, Melodic Death Metal;Active;https://www.metal-archives.com/bands/G6PD/99841
Ga'ahgion;Chile;Raw Black Metal;Split-up;https://www.metal-archives.com/bands/Ga%27ahgion/3540513473
Gaahls Wyrd;Norway;Black/Heavy Metal;Active;https://www.metal-archives.com/bands/Gaahls_Wyrd/3540454158
Gaahlskagg;Norway;Black Metal;On hold;https://www.metal-archives.com/bands/Gaahlskagg/4811
Gaai;Netherlands;Psychedelic Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Gaai/3540539385
Gaarm;Russia;Black Metal;Active;https://www.metal-archives.com/bands/Gaarm/3540399110
Gabbathor;Norway;Heavy Metal;Unknown;https://www.metal-archives.com/bands/Gabbathor/3540342629
Gabestok;Denmark;Black Metal/Punk;Active;https://www.metal-archives.com/bands/Gabestok/3540447647
Gabish;Japan;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Gabish/115277
Gabr;Iran;Black Metal;Active;https://www.metal-archives.com/bands/Gabr/3540503767
Gabriel;Germany;Death/Groove Metal;Active;https://www.metal-archives.com/bands/Gabriel/3540453429
Gabriel;United Kingdom;Progressive/Power Metal;Split-up;https://www.metal-archives.com/bands/Gabriel/3540411554
