Name;Country;Genre;Status;URL
H;Italy;Black/Death/Heavy Metal;Active;https://www.metal-archives.com/bands/H/3540501153
H and H;France;Epic Heavy Metal;Split-up;https://www.metal-archives.com/bands/H_and_H/29372
H Drive Project;United Kingdom;Electronic Death Metal/Ambient;Active;https://www.metal-archives.com/bands/H_Drive_Project/3540526225
H I V E;Canada;Doom/Sludge Metal;Active;https://www.metal-archives.com/bands/H_I_V_E/3540409427
H V N W R D .;Canada;Depressive/Atmospheric Black Metal;Active;https://www.metal-archives.com/bands/H_V_N_W_R_D_./3540546389
H-Bomb;France;Heavy Metal;Split-up;https://www.metal-archives.com/bands/H-Bomb/1592
H-Dragons;Kazakhstan;Heavy Metal;Active;https://www.metal-archives.com/bands/H-Dragons/3540519819
H-George;Italy;Thrash Metal;Unknown;https://www.metal-archives.com/bands/H-George/121573
H-Tray;France;Thrash Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/H-Tray/96984
H. Kristal;Italy;Progressive Metal;Active;https://www.metal-archives.com/bands/H._Kristal/8307
H. M. Krash;Spain;Heavy Metal;Active;https://www.metal-archives.com/bands/H._M._Krash/3540480617
H.A.L;Austria;Thrash/Death Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/H.A.L/112662
H.A.R.M.;Türkiye;Thrash Metal;Active;https://www.metal-archives.com/bands/H.A.R.M./3540545120
H.A.R.M.;United States;Grindcore;Active;https://www.metal-archives.com/bands/H.A.R.M./3540494027
H.A.T.E.;United States;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/H.A.T.E./3540397629
H.A.T.E.;United States;Thrash Metal;On hold;https://www.metal-archives.com/bands/H.A.T.E./49223
H.A.V.O.C.;United States;Thrash/Speed Metal;Split-up;https://www.metal-archives.com/bands/H.A.V.O.C./36526
H.C. Minds;United States;Doom/Sludge Metal;Active;https://www.metal-archives.com/bands/H.C._Minds/29241
H.E.A.L.;Sweden;Heavy Metal with Doom influences;Split-up;https://www.metal-archives.com/bands/H.E.A.L./52243
H.E.W.D.A.T.;Russia;Black Metal;Unknown;https://www.metal-archives.com/bands/H.E.W.D.A.T./70799
H.F.P.;Poland;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/H.F.P./3540361624
H.I.V. Positive;Hungary;"Thrash Metal (early); Alternative Rock (later)";Split-up;https://www.metal-archives.com/bands/H.I.V._Positive/57022
H.M.P.;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/H.M.P./98919
H.O.A.X.;Spain;Heavy Metal;Active;https://www.metal-archives.com/bands/H.O.A.X./3540518737
H.O.G.A.R.;Croatia;Heavy Metal;Split-up;https://www.metal-archives.com/bands/H.O.G.A.R./126217
H.O.P.E.;France;Symphonic Post-Black Metal/Indie Rock;Unknown;https://www.metal-archives.com/bands/H.O.P.E./92420
H.o.r.r.o.r;Canada;Raw Black/Speed Metal;Split-up;https://www.metal-archives.com/bands/H.o.r.r.o.r/3540457509
H.o.S.;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/H.o.S./3540275530
H.O.S.T;Portugal;Heavy Metal;Active;https://www.metal-archives.com/bands/H.O.S.T/3540417044
