Name;Country;Genre;Status;URL
J;Singapore;Sludge/Funeral Doom Metal;Active;https://www.metal-archives.com/bands/J/3540331001
J-A-D;France;Progressive Metal;Active;https://www.metal-archives.com/bands/J-A-D/3540293652
J. D. Overdrive;Poland;Southern/Stoner Metal;Split-up;https://www.metal-archives.com/bands/J._D._Overdrive/124070
J. Hiltunen's Wings of Destiny;Finland;Neoclassical Metal/Shred;Split-up;https://www.metal-archives.com/bands/J._Hiltunen%27s_Wings_of_Destiny/27564
J. Rotten;Austria;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/J._Rotten/3540457971
J. Siitamy;Costa Rica;Thrash/Heavy Metal;Active;https://www.metal-archives.com/bands/J._Siitamy/3540470961
J.C.Jess;France;Heavy Metal;Active;https://www.metal-archives.com/bands/J.C.Jess/125909
J.I.P.;Czechia;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/J.I.P./33723
J.J. Glitter;Sweden;Heavy Metal;Split-up;https://www.metal-archives.com/bands/J.J._Glitter/3540265221
J.J. Hrubovcak;United States;Death Metal;Active;https://www.metal-archives.com/bands/J.J._Hrubovcak/3540373516
J.J. Merciless' Wicked Witch;United States;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/J.J._Merciless%27_Wicked_Witch/3540322055
J.J. Project;Russia;Thrash/Groove Metal;Active;https://www.metal-archives.com/bands/J.J._Project/3540528919
J.L. DiBiase;Germany;Progressive Heavy/Power Metal;Split-up;https://www.metal-archives.com/bands/J.L._DiBiase/3540501173
J.L. Saiz;Spain;Heavy Metal;Active;https://www.metal-archives.com/bands/J.L._Saiz/3540515660
J.M. Masi;Canada;Progressive Metal;Active;https://www.metal-archives.com/bands/J.M._Masi/3540402283
J.R. Preston;United States;"Country (early); Psychedelic Heavy Metal/Hard Rock (later)";Active;https://www.metal-archives.com/bands/J.R._Preston/3540541429
J.R.B. Symphony;Spain;Melodic/Progressive Heavy Metal;Active;https://www.metal-archives.com/bands/J.R.B._Symphony/3540501071
J​.​R​.​R. Tokin';Canada;Stoner/Doom Metal;Unknown;https://www.metal-archives.com/bands/J%E2%80%8B.%E2%80%8BR%E2%80%8B.%E2%80%8BR._Tokin%27/3540395136
J.T. Banks;United States;Melodic Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/J.T._Banks/3540432421
J'ai si froid...;France;Atmospheric Black Metal;Changed name;https://www.metal-archives.com/bands/J%27ai_si_froid.../3540403747
J'ai Vu;France;Black Metal;Active;https://www.metal-archives.com/bands/J%27ai_Vu/3540541283
Já-Ruul;United States;Death Metal;Active;https://www.metal-archives.com/bands/J%C3%A1-Ruul/3540501562
Jäätyäkuu;Hungary;Black Metal;Active;https://www.metal-archives.com/bands/J%C3%A4%C3%A4ty%C3%A4kuu/3540478657
Jabalí;Argentina;Groove/Thrash Metal;Active;https://www.metal-archives.com/bands/Jabal%C3%AD/3540484389
Jabalio;Chile;Heavy Metal;Active;https://www.metal-archives.com/bands/Jabalio/3540391688
Jabida;Philippines;Death Metal;Active;https://www.metal-archives.com/bands/Jabida/3540490959
Jabkowitz;Czechia;Heavy Metal;Active;https://www.metal-archives.com/bands/Jabkowitz/3540427883
Jabladav;United States;Black Metal/Ambient;Split-up;https://www.metal-archives.com/bands/Jabladav/109957
Jacc;Australia;Raw Black Metal;Active;https://www.metal-archives.com/bands/Jacc/3540474403
Jack;Hungary;Grindcore/Crust Punk;Active;https://www.metal-archives.com/bands/Jack/3540512715
Jack Crusher;Poland;Groove Metal;Active;https://www.metal-archives.com/bands/Jack_Crusher/3540455145
Jack Daisy;Japan;Melodic Heavy Metal;On hold;https://www.metal-archives.com/bands/Jack_Daisy/68329
Jack Face;France;Groove Metal;Active;https://www.metal-archives.com/bands/Jack_Face/110812
Jack Fliegler;United States;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/Jack_Fliegler/3540541148
Jack Frost;Austria;Gothic/Doom Metal;Split-up;https://www.metal-archives.com/bands/Jack_Frost/3457
Jack Glass;United Kingdom;Progressive/Stoner Metal;Split-up;https://www.metal-archives.com/bands/Jack_Glass/86088
Jack Hammer;Japan;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Jack_Hammer/3540476534
Jack Harlon & the Dead Crows;Australia;Stoner/Doom Metal/Psychedelic Rock;Active;https://www.metal-archives.com/bands/Jack_Harlon_%26_the_Dead_Crows/3540462733
Jack Havoc;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/Jack_Havoc/3540343756
Jack Ketch;United States;Death Metal/Deathcore;Split-up;https://www.metal-archives.com/bands/Jack_Ketch/3540257330
Jack Lord;Finland;Sludge/Doom Metal;Split-up;https://www.metal-archives.com/bands/Jack_Lord/84818
Jack O'Lantern;Mexico;Power/Folk Metal;Changed name;https://www.metal-archives.com/bands/Jack_O%27Lantern/3540410354
Jack of All Trades;Sweden;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Jack_of_All_Trades/69117
Jack of Hearts;Germany;Melodic Heavy Metal;Split-up;https://www.metal-archives.com/bands/Jack_of_Hearts/3540262563
Jack of Swords;Germany;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Jack_of_Swords/3540275911
Jack Off Guys;Japan;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/Jack_Off_Guys/3540441474
Jack Rose;Japan;"Melodic Power Metal (early); Alternative/Industrial Rock (later)";On hold;https://www.metal-archives.com/bands/Jack_Rose/118021
Jack Slater;Germany;Technical Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/Jack_Slater/5406
