Name;Country;Genre;Status;URL
M;Poland;Black Metal;Split-up;https://www.metal-archives.com/bands/M/62097
M Francis Fester;United States;Industrial/Groove Metal;Split-up;https://www.metal-archives.com/bands/M_Francis_Fester/3540332953
M Virus;Serbia;Heavy Metal;Unknown;https://www.metal-archives.com/bands/M_Virus/60959
M-16;United States;Heavy Metal;Active;https://www.metal-archives.com/bands/M-16/31025
M-16;Bolivia;Thrash Metal;Unknown;https://www.metal-archives.com/bands/M-16/3540382310
M-16;Brazil;Black/Thrash Metal;Active;https://www.metal-archives.com/bands/M-16/3540314540
M-19;Brazil;Thrash Metal;Active;https://www.metal-archives.com/bands/M-19/86942
M-60;Colombia;Thrash Metal;Active;https://www.metal-archives.com/bands/M-60/3540317298
M-80;United States;Heavy Metal;Split-up;https://www.metal-archives.com/bands/M-80/37743
M-82;Argentina;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/M-82/3540538489
M-90's;Netherlands;Death/Thrash Metal;On hold;https://www.metal-archives.com/bands/M-90%27s/21399
M-Bush;Netherlands;Heavy Metal;Split-up;https://www.metal-archives.com/bands/M-Bush/76363
M-H;United States;Melodic Death/Power Metal;Active;https://www.metal-archives.com/bands/M-H/3540405402
M-Hunter;Russia;Progressive Death/Gothic Metal;Active;https://www.metal-archives.com/bands/M-Hunter/3540480325
M:D:A;Germany;Melodic Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/M%3AD%3AA/3540521551
M:Pire of Evil;United Kingdom;Thrash Metal;On hold;https://www.metal-archives.com/bands/M%3APire_of_Evil/3540335811
M. Juliany's the Battle;Brazil;Heavy Metal;Unknown;https://www.metal-archives.com/bands/M._Juliany%27s_the_Battle/119617
M.A.A;Finland;Melodic Heavy Metal;Active;https://www.metal-archives.com/bands/M.A.A/3540472206
M.A.C. of Mad;Czechia;Industrial Death Metal;Active;https://www.metal-archives.com/bands/M.A.C._of_Mad/70871
M.A.C.E.;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/M.A.C.E./41855
M.A.C.E.;Brazil;Thrash Metal/Crossover;On hold;https://www.metal-archives.com/bands/M.A.C.E./102331
M.A.D;Sweden;Progressive Metal;Split-up;https://www.metal-archives.com/bands/M.A.D/94545
M.A.D: Goya;Serbia;Death/Thrash Metal/Crossover;Unknown;https://www.metal-archives.com/bands/M.A.D%3A_Goya/12373
M.A.D.;United States;Thrash Metal;Unknown;https://www.metal-archives.com/bands/M.A.D./3540278586
M.A.D.;Germany;Thrash Metal;Active;https://www.metal-archives.com/bands/M.A.D./113765
M.A.D.;Belgium;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/M.A.D./111528
M.A.D.;Germany;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/M.A.D./97963
M.A.D.;Canada;Thrash Metal;Split-up;https://www.metal-archives.com/bands/M.A.D./87724
M.A.D.;Finland;Thrash Metal;Split-up;https://www.metal-archives.com/bands/M.A.D./3540361948
M.A.I.M.;Italy;Folk Metal;Active;https://www.metal-archives.com/bands/M.A.I.M./3540369147
M.A.I.R.;United Kingdom;Groove/Southern Metal;Unknown;https://www.metal-archives.com/bands/M.A.I.R./3540529631
M.A.K.I.N.A.R.I.A.;Argentina;Heavy/Speed Metal;Unknown;https://www.metal-archives.com/bands/M.A.K.I.N.A.R.I.A./3540394947
M.A.R.S.;United States;Heavy/Power Metal;Split-up;https://www.metal-archives.com/bands/M.A.R.S./1630
M.A.R.T.Y.R.;Poland;Doom/Death Metal;Split-up;https://www.metal-archives.com/bands/M.A.R.T.Y.R./3540279121
M.A.S.;Mexico;Heavy Metal;Active;https://www.metal-archives.com/bands/M.A.S./3540441254
M.A.S.A.C.R.E;Peru;"Heavy/Power Metal (early); Thrash Metal (later)";Active;https://www.metal-archives.com/bands/M.A.S.A.C.R.E/7482
M.A.S.H.;Poland;Thrash Metal;Split-up;https://www.metal-archives.com/bands/M.A.S.H./80324
M.B.I.;Finland;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/M.B.I./3540477516
