Name;Country;Genre;Status;URL
N N;Indonesia;Atmospheric/Depressive Black Metal;Active;https://www.metal-archives.com/bands/N_N/3540452164
N R C S S S T;Lithuania;Shoegaze/Post-Black Metal;Active;https://www.metal-archives.com/bands/N_R_C_S_S_S_T/3540393770
N-232;Spain;Heavy Metal;Split-up;https://www.metal-archives.com/bands/N-232/3540317242
N-Carkade;Greece;Heavy Metal;Unknown;https://www.metal-archives.com/bands/N-Carkade/54124
N-Factor;United States;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/N-Factor/3540539193
N-Fin;Spain;Heavy Metal;Unknown;https://www.metal-archives.com/bands/N-Fin/29895
N-Grind;Japan;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/N-Grind/3540515803
N. Tesla;Germany;Post-Metal;Active;https://www.metal-archives.com/bands/N._Tesla/3540379783
N.A.A.R;Syria;Groove Metal;Split-up;https://www.metal-archives.com/bands/N.A.A.R/3540522607
N.A.I.L;Belgium;Death/Thrash/Groove Metal;Active;https://www.metal-archives.com/bands/N.A.I.L/3540493431
N.A.M.E.;United States;Experimental Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/N.A.M.E./8822
N.A.O.P.;Netherlands;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/N.A.O.P./3540306938
N.A.O.S.;Greece;Atmospheric/Gothic/Darkwave;Split-up;https://www.metal-archives.com/bands/N.A.O.S./6219
N.A.RAC.;Italy;Raw Black Metal;Unknown;https://www.metal-archives.com/bands/N.A.RAC./67142
N.C.O.;Slovakia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/N.C.O./3540438994
N.D. Experience;Russia;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/N.D._Experience/3540508319
N.D.E.;Spain;Thrash Metal;Split-up;https://www.metal-archives.com/bands/N.D.E./80929
N.D.E.;Luxembourg;Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/N.D.E./37773
N.D.Y;United States;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/N.D.Y/3540526256
N.E.G.A.T.I.V.;Romania;Thrash Metal;Split-up;https://www.metal-archives.com/bands/N.E.G.A.T.I.V./3540362174
N.E.R.O.;Japan;Melodic Thrash Metal;Unknown;https://www.metal-archives.com/bands/N.E.R.O./68104
N.E.U.K.;United Kingdom;Groove Metal;Split-up;https://www.metal-archives.com/bands/N.E.U.K./3540285675
N.EX.T;Korea, South;Various;Active;https://www.metal-archives.com/bands/N.EX.T/97196
N.H.N.;Chile;Thrash/Speed Metal;Split-up;https://www.metal-archives.com/bands/N.H.N./3540329995
N.I. Project;Japan;Heavy/Power Metal/Shred;Active;https://www.metal-archives.com/bands/N.I._Project/3540290150
N.I.L.;United States;Black Metal;Active;https://www.metal-archives.com/bands/N.I.L./87057
N.I.S.;Italy;Thrash Metal/Crossover;Changed name;https://www.metal-archives.com/bands/N.I.S./3540327214
N.J.B.;Sweden;Heavy Metal;Split-up;https://www.metal-archives.com/bands/N.J.B./3540258481
