Name;Country;Genre;Status;URL
Ø;Finland;Black Metal;Active;https://www.metal-archives.com/bands/%C3%98/3540439076
O;Australia;Atmospheric Blackened Sludge Metal;Active;https://www.metal-archives.com/bands/O/3540375611
O;Italy;Black Metal/Grindcore;Active;https://www.metal-archives.com/bands/O/3540323182
O;Finland;Raw Black Metal;Split-up;https://www.metal-archives.com/bands/O/15305
O Abominável;Portugal;Death Metal;Active;https://www.metal-archives.com/bands/O_Abomin%C3%A1vel/3540520994
O Anjo Exterminador;Brazil;Industrial/Death Metal;Split-up;https://www.metal-archives.com/bands/O_Anjo_Exterminador/3540350959
O Cerco;Portugal;Black Metal;Active;https://www.metal-archives.com/bands/O_Cerco/3540384558
O Espírito Profano;Brazil;Black/Death/Doom Metal;Active;https://www.metal-archives.com/bands/O_Esp%C3%ADrito_Profano/3540502785
Ø Mother;Malaysia;Sludge/Post-Black Metal;Active;https://www.metal-archives.com/bands/%C3%98_Mother/3540472901
O Sluggard;Australia;Sludge/Stoner Metal;Active;https://www.metal-archives.com/bands/O_Sluggard/3540518854
O Uffern;International;Black Metal;Active;https://www.metal-archives.com/bands/O_Uffern/3540477629
O Wretched Man;United States;Melodic Death Metal;Active;https://www.metal-archives.com/bands/O_Wretched_Man/3540359855
O Zorn!;United States;Doom Metal/Rock;Active;https://www.metal-archives.com/bands/O_Zorn%21/3540413101
Ō-Inari Kami;Russia;Folk/Heavy Metal;Active;https://www.metal-archives.com/bands/%C5%8C-Inari_Kami/3540543914
Ö-Nirik;France;Melodic Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/%C3%96-Nirik/86593
O-Zone;France;Heavy Metal;Changed name;https://www.metal-archives.com/bands/O-Zone/16266
O, Majestic Winter;United States;Experimental Black Metal;Active;https://www.metal-archives.com/bands/O%2C_Majestic_Winter/3540276430
o. Jakub Waszkowiak & Beata Polak;Poland;Thrash Metal;Active;https://www.metal-archives.com/bands/o._Jakub_Waszkowiak_%26_Beata_Polak/3540503666
O.68;Germany;Funeral Doom Metal;Active;https://www.metal-archives.com/bands/O.68/129412
O.A.;Japan;Heavy Metal;Active;https://www.metal-archives.com/bands/O.A./99089
O.B.E.Y.;United Kingdom;Drone/Doom/Thrash Metal;Active;https://www.metal-archives.com/bands/O.B.E.Y./84900
O.C.D.;France;Heavy Metal;Unknown;https://www.metal-archives.com/bands/O.C.D./3540341818
O.C.D.;United States;Thrash/Groove Metal;Unknown;https://www.metal-archives.com/bands/O.C.D./3540256978
O.D.D.;United States;Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/O.D.D./3540464298
O.D.I.O;Spain;Groove Metal;Active;https://www.metal-archives.com/bands/O.D.I.O/3540398624
O.D.O.;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/O.D.O./8672
O.D.R.A;Poland;Sludge Metal/Post-Hardcore;Active;https://www.metal-archives.com/bands/O.D.R.A/3540337081
O.D.R.E;Spain;Blackened Death Metal;Active;https://www.metal-archives.com/bands/O.D.R.E/3540467280
O.H.;Bulgaria;Death/Thrash/Groove Metal;Active;https://www.metal-archives.com/bands/O.H./3540332536
O.H.D.;Netherlands;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/O.H.D./48053
O.I.D.;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/O.I.D./56365
O.L.D.;United States;"Grindcore (early); Industrial/Avant-garde Metal (later)";Split-up;https://www.metal-archives.com/bands/O.L.D./2179
O.M.;Bolivia;Heavy Metal;Active;https://www.metal-archives.com/bands/O.M./3540263493
O.M.S.F.;United States;Power Metal;Split-up;https://www.metal-archives.com/bands/O.M.S.F./51497
O.M.T;United Kingdom;Metalcore;Unknown;https://www.metal-archives.com/bands/O.M.T/3540530712
O.Miserum.Mane;Spain;Doom/Death Metal;Split-up;https://www.metal-archives.com/bands/O.Miserum.Mane/29886
