Name;Country;Genre;Status;URL
The Vala;United States;Melodic Death/Viking Metal;Split-up;https://www.metal-archives.com/bands/The_Vala/93910
The Valley of Hinnom;United States;Doom/Death Metal;Active;https://www.metal-archives.com/bands/The_Valley_of_Hinnom/3540457431
The Valley Ritual;United States;Progressive Black/Death/Stoner Metal;Active;https://www.metal-archives.com/bands/The_Valley_Ritual/3540437966
The Vanishing;United States;Metalcore;Active;https://www.metal-archives.com/bands/The_Vanishing/3540390755
The Vast;Germany;Black/Death Metal;Split-up;https://www.metal-archives.com/bands/The_Vast/30239
The Vault;United States;Stoner Metal/Hard Rock;Active;https://www.metal-archives.com/bands/The_Vault/3540513506
The Veil;Australia;Gothic Metal;Active;https://www.metal-archives.com/bands/The_Veil/3540331036
The Veil;France;Gothic Metal/Rock/Industrial;Active;https://www.metal-archives.com/bands/The_Veil/3540263738
The Veil of Isis;Hungary;Atmospheric Doom  Metal;Split-up;https://www.metal-archives.com/bands/The_Veil_of_Isis/120614
The Veil of Uncertainty;France;Post-Black Metal;Active;https://www.metal-archives.com/bands/The_Veil_of_Uncertainty/3540520888
The Vein;Denmark;Death/Doom Metal;Active;https://www.metal-archives.com/bands/The_Vein/3540333137
The Vein of Lunacy;United States;Death Metal/Grindcore;Split-up;https://www.metal-archives.com/bands/The_Vein_of_Lunacy/45887
The Veith Ricardo Project;United States;Progressive Rock/Progressive Metal;Active;https://www.metal-archives.com/bands/The_Veith_Ricardo_Project/3540483514
The Venereal Collapse;United Kingdom;Blackened Technical Deathcore;Split-up;https://www.metal-archives.com/bands/The_Venereal_Collapse/109312
The Vengeful Few;United States;Heavy Metal;Unknown;https://www.metal-archives.com/bands/The_Vengeful_Few/123752
The Venting Machine;United States;Thrash/Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/The_Venting_Machine/95273
The Very End;Germany;Groove Metal;Active;https://www.metal-archives.com/bands/The_Very_End/53290
The Vicious Head Society;Ireland;Progressive Metal;Active;https://www.metal-archives.com/bands/The_Vicious_Head_Society/3540424882
The Victims Reincarnate;Germany;Blackened Doom Metal;Active;https://www.metal-archives.com/bands/The_Victims_Reincarnate/3540499898
The Victorious Dead;United States;Melodic Death Metal/Metalcore;Active;https://www.metal-archives.com/bands/The_Victorious_Dead/3540547096
The Vile Doctrine;United States;Death Metal/Deathcore;Active;https://www.metal-archives.com/bands/The_Vile_Doctrine/3540464533
The Vile Impurity;United States;Technical Death Metal/Deathcore;On hold;https://www.metal-archives.com/bands/The_Vile_Impurity/3540346141
The Villain;United States;Heavy Metal;Active;https://www.metal-archives.com/bands/The_Villain/3540478382
The Violent Breed;United States;Power Metal;Changed name;https://www.metal-archives.com/bands/The_Violent_Breed/6794
The Virally Enthroned;United States;Death Metal;Split-up;https://www.metal-archives.com/bands/The_Virally_Enthroned/3540269215
The Virgin Converters;Ireland;Metalcore/Groove Metal;Unknown;https://www.metal-archives.com/bands/The_Virgin_Converters/3540537755
The Virtuosity Effect;United States;Progressive Metal/Shred;Active;https://www.metal-archives.com/bands/The_Virtuosity_Effect/3540463511
The Virulent;United States;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/The_Virulent/3540457567
The Visceral Madness Condition;Italy;Sludge Metal;Active;https://www.metal-archives.com/bands/The_Visceral_Madness_Condition/3540445355
The Vision;Poland;Heavy Metal;Split-up;https://www.metal-archives.com/bands/The_Vision/3540370116
The Vision Ablaze;Denmark;Melodic Death/Groove Metal/Metalcore;Active;https://www.metal-archives.com/bands/The_Vision_Ablaze/3540401016
The Vision Bleak;Germany;Gothic Metal;Active;https://www.metal-archives.com/bands/The_Vision_Bleak/15041
