Name;Country;Genre;Status;URL
The W Likes;Norway;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/The_W_Likes/3540530156
The W.O.R.S.T.;Italy;Heavy Metal;Split-up;https://www.metal-archives.com/bands/The_W.O.R.S.T./62536
The Waiting Ones;Hungary;Experimental Industrial Metal/Ambient;Active;https://www.metal-archives.com/bands/The_Waiting_Ones/3540479695
The Wake;International;Black Metal;Active;https://www.metal-archives.com/bands/The_Wake/3540430859
The Wake;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/The_Wake/3540279666
The Wake;Finland;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/The_Wake/14456
The Wake;Italy;Death/Thrash Metal with Power influences;Changed name;https://www.metal-archives.com/bands/The_Wake/112382
The Wake of Suffering;United States;Thrash/Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/The_Wake_of_Suffering/116351
The Wakedead Gathering;United States;Death Metal;Active;https://www.metal-archives.com/bands/The_Wakedead_Gathering/3540270605
The Wakening;United States;Melodic Death Metal;Active;https://www.metal-archives.com/bands/The_Wakening/3540316864
The Walking Dead Orchestra;France;Deathcore;Active;https://www.metal-archives.com/bands/The_Walking_Dead_Orchestra/3540365329
The Walls Concave;Germany;Deathcore/Grindcore;Active;https://www.metal-archives.com/bands/The_Walls_Concave/3540346587
The Walruz;Germany;Stoner/Doom Metal;Split-up;https://www.metal-archives.com/bands/The_Walruz/87885
The Wampyric Specter;Netherlands;Black Metal;Split-up;https://www.metal-archives.com/bands/The_Wampyric_Specter/3540436960
The Wanderer;France;Black Metal;Active;https://www.metal-archives.com/bands/The_Wanderer/3540259808
The Wanderer;Unknown;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/The_Wanderer/3540515555
The Wanderer...;Australia;Black Metal;Active;https://www.metal-archives.com/bands/The_Wanderer.../3540389747
The Wandering;Czechia;Post-Black Metal/Post-Rock;Active;https://www.metal-archives.com/bands/The_Wandering/3540484599
The Wandering Ascetic;Singapore;Black/Death Metal;Active;https://www.metal-archives.com/bands/The_Wandering_Ascetic/3540361382
The Wandering Fire;Mexico;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/The_Wandering_Fire/3540353742
The Wandering Midget;Finland;Doom Metal;Split-up;https://www.metal-archives.com/bands/The_Wandering_Midget/105412
The Wanted;Canada;Thrash Metal;Split-up;https://www.metal-archives.com/bands/The_Wanted/3540452535
The War of the Angels;United States;Black Metal;Active;https://www.metal-archives.com/bands/The_War_of_the_Angels/3540536106
The War Show;United States;Thrash Metal;Unknown;https://www.metal-archives.com/bands/The_War_Show/3540363804
The Ward;Moldova;Atmospheric/Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/The_Ward/3540358633
The Wargasm;Finland;Black Metal;Split-up;https://www.metal-archives.com/bands/The_Wargasm/3540312866
The Warinsane;South Africa;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/The_Warinsane/3540265986
The Warning;Germany;Melodic Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/The_Warning/3868
The Warning;United States;Thrash Metal;Changed name;https://www.metal-archives.com/bands/The_Warning/3540259525
The Warriors;Switzerland;Death Metal/Grindcore;Unknown;https://www.metal-archives.com/bands/The_Warriors/68157
The Warslain;Finland;Death/Groove Metal;Split-up;https://www.metal-archives.com/bands/The_Warslain/78198
