Name;Country;Genre;Status;URL
The Xebellian Triangle;United States;Symphonic/Melodic Death Metal;Active;https://www.metal-archives.com/bands/The_Xebellian_Triangle/3540504446
The Xiphoid Process;United States;Death/Doom Metal;Active;https://www.metal-archives.com/bands/The_Xiphoid_Process/3540302311
The Xit Wounds;United States;Thrash/Sludge Metal;Active;https://www.metal-archives.com/bands/The_Xit_Wounds/3540323896
X Band;France;Progressive Metal;Split-up;https://www.metal-archives.com/bands/X_Band/3540324431
X Factor X;United States;Progressive Metal;Unknown;https://www.metal-archives.com/bands/X_Factor_X/9380
X Japan;Japan;Heavy/Progressive/Power Metal;Active;https://www.metal-archives.com/bands/X_Japan/2150
X la Muerte;Argentina;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/X_la_Muerte/3540371171
X Legacy;United States;Groove Metal/Metalcore;Split-up;https://www.metal-archives.com/bands/X_Legacy/3540282537
X Opus;United States;Symphonic Power Metal;Unknown;https://www.metal-archives.com/bands/X_Opus/3540329177
X Project;Brazil;Melodic Heavy Metal;Active;https://www.metal-archives.com/bands/X_Project/14239
X Raptor;Brazil;Progressive Metal;Active;https://www.metal-archives.com/bands/X_Raptor/30158
X-1's;Japan;Heavy Metal;Split-up;https://www.metal-archives.com/bands/X-1%27s/3540469883
X-Aisle;United States;Thrash/Heavy Metal;Unknown;https://www.metal-archives.com/bands/X-Aisle/3540426549
X-Arm;Brazil;Power/Speed Metal;Unknown;https://www.metal-archives.com/bands/X-Arm/3540305807
X-Avenger;Brazil;Heavy Metal;Unknown;https://www.metal-archives.com/bands/X-Avenger/3540521310
X-Blade;Venezuela;Speed/Heavy Metal;Split-up;https://www.metal-archives.com/bands/X-Blade/3540474314
X-Bow;Sweden;Heavy Metal;Changed name;https://www.metal-archives.com/bands/X-Bow/33794
X-box Murder;Ukraine;Blackened Death Metal/Deathcore;Split-up;https://www.metal-archives.com/bands/X-box_Murder/3540353676
X-Caliber;United States;Heavy Metal;Split-up;https://www.metal-archives.com/bands/X-Caliber/5973
X-Caliber;United States;Hard Rock/Heavy Metal;Split-up;https://www.metal-archives.com/bands/X-Caliber/3540285687
X-Calibur;Switzerland;Heavy Metal;Active;https://www.metal-archives.com/bands/X-Calibur/3540290180
X-Constant;Ireland;Progressive Metalcore;Split-up;https://www.metal-archives.com/bands/X-Constant/102467
X-Cops;United States;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/X-Cops/47187
