Name;Country;Genre;Status;URL
Q-Box;Germany;Heavy/Stoner Rock/Metal;Active;https://www.metal-archives.com/bands/Q-Box/3540283891
Q-Fonia;Chile;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Q-Fonia/3540395097
Q-Squad;Germany;Power/Thrash Metal;Changed name;https://www.metal-archives.com/bands/Q-Squad/24433
Q.A.R.S.;Canada;Black/Death Metal;Active;https://www.metal-archives.com/bands/Q.A.R.S./3540502763
Q.W.A.N.;Sweden;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Q.W.A.N./89516
Q'eq'um;Guatemala;Black Metal;Active;https://www.metal-archives.com/bands/Q%27eq%27um/3540516264
Q5;United States;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Q5/1449
Qaalm;United States;Sludge/Doom Metal;Active;https://www.metal-archives.com/bands/Qaalm/3540491272
Qaanaaq;Italy;Avant-garde/Progressive Doom Metal;Active;https://www.metal-archives.com/bands/Qaanaaq/3540418954
Qabrum;United States;Black Metal;Active;https://www.metal-archives.com/bands/Qabrum/3540545928
Qadhäki;Spain;Sludge Metal/Crust;Unknown;https://www.metal-archives.com/bands/Qadh%C3%A4ki/3540500398
Qadmon;International;Gothic/Doom Metal;Active;https://www.metal-archives.com/bands/Qadmon/3540521843
Qaf;Egypt;Black Metal;Active;https://www.metal-archives.com/bands/Qaf/3540404430
Qafsiel;Unknown;Post-Black Metal;Active;https://www.metal-archives.com/bands/Qafsiel/3540442693
Qantice;France;Symphonic Power Metal;Active;https://www.metal-archives.com/bands/Qantice/3540261444
Qarnayn;Singapore;Death Metal;Split-up;https://www.metal-archives.com/bands/Qarnayn/3540491109
Qassam;Hungary;Black Metal;On hold;https://www.metal-archives.com/bands/Qassam/3540341876
Qayin;Germany;Black Metal;Active;https://www.metal-archives.com/bands/Qayin/3540335299
Qayin Regis;Spain;Black/Death Metal;Active;https://www.metal-archives.com/bands/Qayin_Regis/3540432616
Qayin Rex Mortis;Colombia;Black Metal;Active;https://www.metal-archives.com/bands/Qayin_Rex_Mortis/3540460211
Qayinleamas;United States;Black Metal;Unknown;https://www.metal-archives.com/bands/Qayinleamas/3540471869
QBA;Finland;Groove Metal;Unknown;https://www.metal-archives.com/bands/QBA/129922
Qdesh;Spain;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/Qdesh/3540453222
Qebehet;Chile;Black Metal;Unknown;https://www.metal-archives.com/bands/Qebehet/3540442633
Qeddeshet;Japan;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Qeddeshet/3540431115
Qerbero;Brazil;Sludge/Doom Metal;Active;https://www.metal-archives.com/bands/Qerbero/3540426421
Qerth;Poland;Progressive Death Metal;Active;https://www.metal-archives.com/bands/Qerth/3540472693
QFT;Sweden;Melodic Heavy/Symphonic Metal;Active;https://www.metal-archives.com/bands/QFT/3540440514
